,0
0,1.0833984176540491e+272
1,2.152240637253593e+248
2,1.932060684135892e+280
3,1.4766406642777887e+281
4,3.883235864750669e+194
5,1.083323242705549e+284
6,8.739267779815861e+282
7,2.390658523376527e+275
8,1.0002414071089978e+240
9,1.0610892910205661e+288
10,1.6036938692108962e+265
11,3.252987722252525e+194
12,3.3450080608294866e+232
13,4.847565592036014e+235
14,1.7920999752378234e+208
15,6.604443656255651e+183
16,6.3222173000750675e+264
17,2.6359317263908655e+273
18,2.2509163470216105e+213
19,2.4641282355324214e+183
20,1.5852903450678965e+258
21,2.8128927950240583e+224
22,2.6556440565113374e+281
23,1.7764628261944718e+275
24,2.4722106303120227e+290
25,4.236555223321109e+283
26,2.2133705049014083e+208
27,4.707425856537009e+201
28,1.083367132563135e+211
29,9.210841615151121e+181
30,5.87316931128187e+246
31,5.301307491426803e+272
32,3.35514636301541e+290
33,1.1255416663695683e+287
34,2.666867752159014e+273
35,1.1716082730479097e+228
36,9.264331287141582e+274
37,1.5111442009446256e+235
38,7.803680560475591e+280
39,5.94388866979307e+215
40,1.1917113399651626e+249
41,5.316112594395848e+250
42,4.91352104138691e+267
43,2.8944439091967685e+173
44,2.071481708217981e+265
45,1.061003758360143e+288
46,3.105302575757383e+287
47,5.2768679065322604e+256
48,7.234582876662505e+286
49,2.0678703803005243e+234
50,2.3125190869639897e+226
51,1.4265537691157218e+277
52,4.893652998626637e+179
53,2.039529292624096e+191
54,4.804563650876006e+230
55,2.4317421672036024e+242
56,4.911722588491995e+281
57,5.107832593155815e+281
58,1.3034429845968083e+189
59,5.995038736736915e+241
60,5.1025056360741044e+262
61,6.540770617756451e+273
62,3.5207532992545696e+245
63,1.953529727322511e+258
64,1.8610337793262865e+220
65,2.394321558730842e+280
66,6.27865336180587e+275
67,8.126921103938017e+268
68,1.2653163147365601e+244
69,1.5001964536996612e+287
70,4.6891299073480377e+288
71,6.565198936750371e+289
72,5.8159841049699486e+271
73,3.75464326633528e+231
74,1.5461487239586161e+240
75,2.140097788211221e+264
76,2.434955610191855e+263
77,4.173312221945152e+248
78,2.1874715840498603e+228
79,2.7007328242160268e+211
80,1.1272156181782284e+244
81,3.165502970741529e+211
82,1.3948578376857394e+218
83,5.277656391742726e+277
84,6.620591831130381e+220
85,5.764658317067862e+221
86,1.4768738705691092e+289
87,1.579404681651906e+208
88,2.278187054470175e+289
89,4.441550896403863e+289
90,1.4408593241993504e+204
91,6.02222323843503e+186
92,7.30303430190994e+280
93,2.0039559222958725e+252
94,1.4011549495248057e+234
95,9.88420500510535e+193
96,2.0487089960475927e+280
97,3.4387520033097267e+258
98,5.2547376225368324e+253
99,2.715301032974389e+224
100,2.272185056014499e+193
101,1.5009408583571608e+287
102,1.9616412577046348e+229
103,1.058927808805151e+218
104,9.07401073087762e+201
105,7.369551134236146e+266
106,1.0322124517184544e+196
107,1.5486896333348307e+253
108,4.787944539982505e+257
109,5.040220235291124e+255
110,1.5444516506231908e+264
111,3.845025323578068e+194
112,8.505660797517277e+261
113,2.704948241755371e+198
114,3.3639836820776334e+289
115,7.446708385915978e+286
116,4.242065687838647e+211
117,7.989970930198015e+275
118,8.853019342132469e+284
119,1.744300607500983e+214
120,4.642363250439435e+275
121,5.4222368318661315e+199
122,1.9959623878708742e+141
123,7.652501926223898e+236
124,8.968033337138487e+259
125,4.1135588382754e+271
126,5.240623809488289e+288
127,7.539667921237028e+198
128,3.4827881128663336e+245
129,2.907608153227931e+208
130,8.499056103082226e+281
131,7.10589502087006e+210
132,3.002682249453013e+269
133,6.800111693396042e+274
134,1.87453032606787e+246
135,7.408928897171242e+192
136,1.3579965718185876e+241
137,1.1357411644828537e+283
138,1.9643580624986255e+178
139,8.391488871393577e+288
140,4.0636918175032633e+288
141,4.397881769478951e+259
142,5.370937397052777e+233
143,2.682986824858698e+182
144,7.009255582441147e+222
145,5.8212517708507754e+178
146,3.304552482433167e+262
147,7.923911529006445e+287
148,7.937852125184775e+202
149,7.195545093520568e+289
150,7.659939063944314e+186
151,7.358280071108454e+180
152,1.644477803613205e+285
153,1.4544929748222238e+277
154,5.2767648583286026e+243
155,7.234744535085927e+258
156,2.4741512753315917e+288
157,1.311355978175832e+207
158,8.191288467751921e+285
159,2.9046621563984696e+276
160,4.9783553401264317e+185
161,4.890095890372741e+210
162,5.656674764343819e+256
163,3.221099150225468e+289
164,6.326726235372507e+249
165,9.039609248379474e+237
166,1.3508984410435808e+271
167,5.402072819088957e+195
168,5.570178771829829e+288
169,3.4608373961102036e+234
170,5.125218958268259e+242
171,9.34872778003913e+261
172,5.955378497155899e+216
173,7.537268032032316e+284
174,5.904024022416948e+273
175,1.5941663142073319e+265
176,1.939378814093792e+246
177,2.456355095389532e+288
178,6.948804368845347e+226
179,7.035046077052557e+286
180,2.9156084969468907e+290
181,4.2000271015601357e+273
182,2.3813776867571146e+283
183,7.917430083163106e+288
184,9.116338286954545e+289
185,4.1586777877193614e+226
186,1.5146902295629874e+290
187,3.7324936280338124e+290
188,6.006302468232099e+287
189,2.1873187043868464e+245
190,1.3343305888403018e+184
191,2.183981191306882e+184
192,6.959859610718234e+229
193,2.1917658945940644e+249
194,3.60542222526178e+284
195,5.7475751802661984e+283
196,1.1588388015590831e+286
197,6.86052785219153e+217
198,3.277290208942451e+290
199,2.9502653981366394e+276
200,8.168465327610136e+282
201,3.8529254072777266e+205
202,2.420669151670888e+210
203,9.084408388072445e+269
204,2.7749999696624283e+250
205,8.390710072694438e+272
206,2.3946221489601223e+198
207,6.141683440992818e+284
208,1.7313456894606579e+289
209,1.2396911781528994e+288
210,6.4206440121756985e+206
211,1.4076340448035282e+18
212,4.271133389298909e+212
213,9.180123513471966e+178
214,7.30537920279069e+191
215,1.3316550267263694e+288
216,5.799768459089534e+286
217,5.041926301620401e+283
218,2.6246297304729877e+243
219,9.260823350918408e+254
220,1.1685884554777133e+243
221,3.2472761377959934e+270
222,1.3639687525872564e+256
223,5.296109149384573e+239
224,3.0815957057411772e+243
225,2.9166283699434565e+234
226,1.1787161709269651e+191
227,1.1156407243575969e+276
228,7.275930707395455e+208
229,3.501483201804185e+199
230,1.1800240950253856e+175
231,1.2913880605670705e+289
232,1.2246941273978638e+238
233,3.012457348310344e+282
234,3.2576533103079066e+290
235,4.4219343700801146e+279
236,4.6351619245849406e+272
237,3.1027402384791614e+208
238,4.9458041970218035e+180
239,1.2798795093767926e+279
240,1.471612290724941e+260
241,1.283829806862667e+277
242,4.0955138239912305e+265
243,3.0818012396622573e+248
244,4.797226666849939e+275
245,6.183338074518269e+286
246,2.0846228171776062e+205
247,7.088682262106423e+252
248,4.198143653570986e+225
249,2.227164149464732e+228
250,1.4202410720774904e+231
251,9.058659176157484e+272
252,4.145165794367321e+188
253,1.9133300888895702e+223
254,2.514578850559691e+286
255,3.7592914580101443e+177
256,1.2634750554866679e+238
257,1.7801590962517898e+290
258,1.0425539100024516e+207
259,1.7540680995830444e+256
260,2.036678751463162e+183
261,52615362368743.13
262,5.4988519929569954e+261
263,2.020124999328565e+218
264,2.1339667898335993e+208
265,1.3567612139660657e+215
266,2.1494870807236473e+188
267,5.768423649099572e+191
268,1.2194960226111377e+281
269,2.0410642424544467e+279
270,2.2796345539048387e+289
271,9.045201127689583e+289
272,3.009947522540565e+211
273,7.892238853011296e+284
274,2.059456924562404e+290
275,7.06352737762292e+271
276,1.3897167347842485e+269
277,1.3321026542063522e+239
278,2.9078059303344115e+272
279,2.1060215133398643e+289
280,2.3870946514369664e+280
281,1.6712175938075204e+248
282,9.715434515398738e+258
283,3.205223071418307e+238
284,2.1765558596557742e+235
285,4.4346366371786083e+279
286,7.201212781832571e+180
287,2.915139436861472e+251
288,6.287453947477323e+278
289,1.804947795574886e+181
290,1.921233138798567e+266
291,3.686604887312254e+239
292,4.544835455914349e+228
293,1.2943590851700512e+284
294,3.378581247866357e+287
295,9.720002325691252e+174
296,4.3225877689149006e+184
297,3.5030147049214456e+278
298,2.714915473214666e+288
299,1.4711121716505618e+244
300,1.930679659882577e+184
301,4.210654908528043e+201
302,1.3082298427538278e+220
303,4.24132994940298e+220
304,4.436447376760453e+219
305,1.607183865056994e+281
306,8.836522280712621e+187
307,1.8431004657035603e+279
308,2.3038065731115212e+237
309,4.470716226925489e+206
310,5.315216298019227e+205
311,3.0347101872771835e+243
312,3.2126735560358874e+272
313,6.754546701773461e+201
314,9.668773394067883e+272
315,1.3088815045642214e+290
316,4.9825870033496875e+190
317,6.594709144181836e+273
318,9.550140455569875e+183
319,7.886295210118163e+180
320,2.464953999480347e+252
321,1.7721647453809515e+202
322,2.1647221149762913e+285
323,3.611036295615718e+288
324,9.906884893680749e+221
325,5.662807483767264e+245
326,5.16636668684788e+288
327,1.0415789591026435e+222
328,6.186990543910518e+199
329,2.6131793788720946e+290
330,3.6707181641426394e+285
331,2.73619596971309e+206
332,3.295070340169172e+213
333,2.5221321592296695e+287
334,4.6215475191942666e+209
335,5.125105501765761e+278
336,2.608328635316757e+276
337,8.940510750737384e+242
338,1.2279930497387426e+251
339,1.0026776346811586e+259
340,1.0996951690969509e+276
341,2.6555812598184625e+219
342,1.1674373240248577e+261
343,1.0554672524078607e+239
344,2.828281790901149e+217
345,1.1800325910781562e+210
346,8.055081776737655e+274
347,1.6096069262345094e+277
348,3.7558994846756287e+288
349,2.476423829270245e+268
350,4.45844027668838e+285
351,4.526789181128446e+214
352,4.6372939252033063e+269
353,1.89976914381305e+282
354,1.766295465281126e+264
355,3.983193813966487e+253
356,9.252412282376358e+185
357,3.990254404034987e+252
358,2.9701941066870246e+213
359,3.5908942073577657e+182
360,9.262130117232327e+285
361,4.2676447543593915e+264
362,2.6106704752445816e+240
363,1.1197512570802789e+215
364,1.5786449312763942e+289
365,2.564508928918589e+223
366,4.403964306067669e+286
367,6.395858835372674e+202
368,2.6001992733726126e+262
369,1.9555033882924254e+244
370,1.8579148072166468e+255
371,1.0650439506639912e+205
372,3.3411703423793573e+215
373,4.393833719229847e+286
374,2.8837544517159662e+239
375,5.1277700723126904e+219
376,1.8471096749931942e+281
377,2.0005935484263624e+263
378,1.183202012188411e+232
379,1.1317455347277675e+215
380,3.830115753020222e+284
381,3.618461844231713e+278
382,1.7916036846723452e+269
383,1.762062147168948e+224
384,8.217207169742458e+258
385,7.4711568198279795e+242
386,5.655810697717948e+282
387,3.690202001051748e+252
388,8.722194361899012e+257
389,1.1831593053648344e+289
