,0
0,1.1427560809126453e+239
1,2.6155818702318866e+288
2,5.229225324194761e+173
3,2.4194554938729303e+179
4,1.7949234324310486e+267
5,5.266656762726866e+177
6,1.2335465330752747e+234
7,9.124300631085598e+287
8,5.937888400557696e+195
9,8.449503463492809e+268
10,2.7008718362943692e+287
11,1.7898157142682571e+204
12,1.9716383382911106e+263
13,4.819135747628344e+255
14,5.0373993328990475e+190
15,2.4010484233956966e+277
16,7.179755121312376e+189
17,8.269509104983015e+222
18,5.495426658491742e+255
19,5.141557638384696e+257
20,1.3401979368065941e+249
21,9.441248052706922e+207
22,1.1308114106325322e+285
23,4.186821537571217e+224
24,7.86861130929829e+287
25,1.3939587266520163e+241
26,4.1311244443606056e+237
27,1.873944630384441e+238
28,1.2980124013323206e+179
29,3.089825554726154e+220
30,7.669808693525006e+272
31,1.2417577086222101e+191
32,1.9763675726872348e+288
33,2.5019442943365567e+232
34,5.229116471711544e+206
35,1.0472538470429691e+256
36,1.3758236456661064e+206
37,6.013232334853122e+229
38,6.114804903478335e+253
39,1.791243676422417e+267
40,1.0993841296431356e+180
41,4.360583801219477e+289
42,1.8077232783441842e+279
43,5.742554913548526e+280
44,4.3409977740416005e+270
45,6.115564890521484e+248
46,9.163076941499824e+264
47,2.2033296311541898e+226
48,4.132831462751962e+288
49,1.2965072636592773e+266
50,5.113131471463637e+277
51,1.2628813238934706e+233
52,6.833679118940753e+204
53,3.865624258635548e+289
54,7.007884167080471e+276
55,2.0230502691282967e+208
56,2.4791599133406225e+179
57,1.2267142196282889e+264
58,3.7546776295818174e+222
59,3.551186863660782e+222
60,1.7622408548282393e+202
61,2.840006809713456e+235
62,7.888260900602717e+232
63,1.5015194511329194e+243
64,3.190788827225652e+288
65,3.0161991770500437e+189
66,9.066275963226735e+284
67,3.048806356922993e+239
68,1.9735375049118955e+251
69,1.6144468483361124e+280
70,5.948221576949475e+248
71,5.0988016939618195e+175
72,9.64268296328254e+270
73,1.233297762691904e+193
74,2.476417663829148e+181
75,3.2226056555169084e+284
76,3.5786991371091443e+264
77,7.86333291678218e+193
78,5.542396616670675e+226
79,2.6031072027790902e+249
80,1.180662624357334e+232
81,1.241646737925804e+242
82,5.907486790916775e+273
83,1.73266733428765e+213
84,1.4715744741409054e+262
85,2.0783882524938348e+193
86,2.5122276218031345e+289
87,7.758307776554699e+289
88,4.2474773654888484e+175
89,1.1888487338876414e+279
90,6.391671614684399e+275
91,1.209332231108369e+289
92,1.9397905390137554e+257
93,3.8024689463466492e+261
94,5.073395345941094e+279
95,5.07084342777987e+288
96,2.4973001946617506e+251
97,1.4675358100363734e+243
98,1.1429689545241136e+279
99,4.599065096847507e+203
100,7.612411930102621e+208
101,9.754148920942696e+246
102,4.806351272253425e+282
103,3.770678684841567e+272
104,3.21874495846499e+245
105,1.4339064315175668e+270
106,5.574400352399073e+289
107,2.1568391377212553e+191
108,9.90210199057482e+286
109,2.558399760079986e+256
110,5.800272489341902e+284
111,1.1259242999241526e+266
112,5.292528432100352e+226
113,1.0899169641370087e+208
114,4.466751421091716e+237
115,3.1377125061918634e+287
116,2.045680739551218e+250
117,9.810096473974648e+226
118,1.1339209225871413e+287
119,6.7036721736424385e+267
120,1.8667195033514086e+284
121,2.9361285001264003e+196
122,6.066816495956885e+282
123,1.4691993501157119e+190
124,1.6193783978128437e+274
125,3.479032148320353e+235
126,1.1537263342466115e+223
127,5.338701097393618e+266
128,4.711121989991144e+186
129,3.776083974815139e+184
130,7.271173911559237e+284
131,4.813907622774982e+262
132,4.0572272701518555e+222
133,2.468091234309714e+288
134,3.7218694171430544e+281
135,1.3968680523796556e+237
136,4.6353111827851345e+237
137,6.3289625972621156e+206
138,8.048706733623542e+186
139,1.6069076889924117e+288
140,1.2232483489814935e+283
141,6.731581451069353e+244
142,4.929528162339362e+289
143,1.8913373224954638e+272
144,3.300407984806536e+251
145,3.6408722545815484e+288
146,9.740622999346216e+276
147,8.091325010369578e+228
148,3.552511140647856e+288
149,1.0180290856388052e+285
150,3.086673007977876e+287
151,7.714342763573992e+268
152,4.12569464783777e+281
153,2.0642660084704647e+289
154,5.1913387101826426e+206
155,2.0057766943109962e+218
156,1.7832361867630475e+206
157,4.505074301172055e+112
158,2.9396609489123914e+276
159,1.2292744444474885e+230
160,5.154748861249935e+244
161,1.9773624522583997e+238
162,3.332011721976598e+204
163,2.2093701659514365e+185
164,6.204252534448256e+285
165,3.555386151762322e+227
166,3.925754600428694e+289
167,3.289441096181028e+287
168,1.5478072404862086e+288
169,3.2192708256666834e+283
170,4.094031418251224e+197
171,4.4775299486384454e+263
172,9.310784825243889e+259
173,2.445755762301561e+286
174,1.328227226133111e+238
175,2.2818259609936623e+285
176,1.7955050415443596e+276
177,3.6326002033195195e+279
178,6.654498301512788e+269
179,2.8457013452797877e+221
180,5.480812371480568e+191
181,1.183972040987481e+274
182,3.138097663728472e+205
183,2.703700626559147e+239
184,7.32429461412574e+285
185,1.0751472505498708e+275
186,5.74857986193504e+217
187,7.041926245884992e+243
188,5.38516233424467e+185
189,6.850008468220521e+280
190,1.4597600027856977e+286
191,3.208481385757754e+286
192,4.193988874868925e+200
193,2.211403658107829e+261
194,1.0252886848171277e+276
195,4.337315220026348e+289
196,5.995597571461603e+259
197,6.422445210488911e+218
198,8.195720881071711e+274
199,1.4163368595179622e+282
200,1.6126839480800463e+258
201,9.680382284035266e+228
202,1.4513375308636677e+284
203,6.049087624528732e+229
204,2.22471834526092e+256
205,1.717503523962195e+282
206,3.0042121808777403e+240
207,3.16294650839483e+172
208,9.232325633742767e+289
209,2.501181654744407e+198
210,3.495632360827e+284
211,2.907512104851297e+211
212,8.369702099272681e+245
213,1.42110647653067e+271
214,3.984527230488795e+209
215,2.7056834230640354e+204
216,5.69444571791067e+186
217,9.442832081493827e+186
218,4.636075394205364e+274
219,1.1901952131709568e+284
220,2.0724472038809387e+283
221,6.889015827560346e+227
222,3.982855020445408e+286
223,2.2635370623570634e+213
224,2.5771536561813175e+279
225,1.453146641516061e+258
226,9.957662426383632e+226
227,6.154483999349095e+272
228,2.3131477577465382e+268
229,9.767492701113159e+286
230,3.2769646566217273e+196
231,1.0196187160570784e+284
232,3.5621058513110375e+216
233,1.4028768288498217e+289
234,6.882909420477329e+289
235,1.0572927640668923e+283
236,5.035506374870621e+226
237,3.229157343025371e+287
238,7.207635940312524e+289
239,5.459334224917925e+224
240,1.631793042292929e+287
241,2.52194546646851e+284
242,3.1603463272465744e+218
243,5.257724008188481e+279
244,4.148667868513923e+282
245,2.0874726381768343e+194
246,1.07126126197974e+230
247,5.168489796199542e+177
248,6.511955624158577e+289
249,6.244515569542114e+263
250,8.67726581678355e+263
251,1.1497322081733583e+188
252,4.4039362299588244e+193
253,3.6361079273314474e+272
254,6.086425748578744e+258
255,1.63747827596827e+173
256,6.4218735687675095e+242
257,1.6503394266613756e+272
258,1.2362362026575443e+226
259,1.0705950272221498e+284
260,6.0689793422077785e+277
261,1.1150416067654217e+282
262,1.150996726910669e+253
263,2.581220844801471e+288
264,3.969910965014585e+249
265,5.179784224215653e+248
266,9.979428154103946e+278
267,1.0393164211694073e+239
268,1.1041708330373548e+270
269,5.066837268673651e+274
270,1.3406600556606063e+287
271,1.1574090132230368e+287
272,3.51891781328354e+188
273,8.149560530832533e+280
274,4.241874812282677e+269
275,1.6162678359049015e+180
276,4.020951579193485e+244
277,5.460273197331263e+279
278,1.2409605251604387e+215
279,3.175596976463817e+259
280,2.4694605907817878e+289
281,4.5398580377941925e+272
282,2.4633100910636017e+211
283,2.335014490505724e+173
284,8.318091863989275e+238
285,1.5101503903665883e+182
286,1.382772146132472e+181
287,7.990640167481595e+242
288,5.832108094373115e+233
289,1.8185436646887397e+287
290,1.730461224881333e+270
291,4.669162874770674e+201
292,1.4682941567899958e+174
293,2.72009922628719e+177
294,7.614930341567748e+249
295,2.558702719222737e+243
296,3.6856441828975376e+206
297,2.717790867080663e+210
298,1.0284547896214329e+268
299,1.3689829467542073e+205
300,5.445372760742085e+208
301,2.471256395431355e+217
302,7.590917890950622e+266
303,6.289431988467933e+174
304,7.213614617721119e+288
305,1.3272305863680927e+283
306,1.7847853221113142e+228
307,6.373060745227074e+282
308,7.410167606146211e+276
309,3.6160052382930804e+288
310,6.6390198176214286e+190
311,9.584451196054846e+286
312,1.1774405653401999e+261
313,2.5767830808853184e+286
314,4.820619965631282e+287
315,2.983166448791056e+267
316,1.1208584487740167e+181
317,2.788041259161191e+284
318,8.805164249861086e+289
319,1.1151036510105918e+216
320,5.680360020253386e+246
321,6.718891978560931e+285
322,9.17473145849397e+198
323,3.4456948339339577e+168
324,4.3905366830157935e+198
325,9.580716260070949e+237
326,5.844310023283778e+289
327,4.479416044768333e+189
328,4.7212670036859756e+269
329,1.3607768920369984e+189
330,9.43954897032025e+211
331,1.0864101962946721e+289
332,1.6955098529361515e+200
333,8.981617407559824e+265
334,6.517778689341056e+287
335,3.4808494795228236e+194
336,8.082376425042385e+172
337,3.2280735387793117e+289
338,3.197016788497765e+263
339,9.088039015629402e+265
340,2.83722393146046e+223
341,1.207772382025171e+242
342,6.602723704068947e+179
343,7.347127615120586e+289
344,3.406004802231246e+178
345,1.7265182341270517e+289
346,6.906970769829239e+173
347,1.8268856714309733e+248
348,4.8041050374326567e+191
349,3.3057837115750063e+277
350,4.570029078619483e+216
351,1.4509144841150553e+236
352,1.7727667471539454e+255
353,4.7750350651564844e+287
354,3.601710482317e+274
355,7.4243690348488115e+205
356,4.3219461061034e+234
357,3.987955864570691e+234
358,9.131761651348596e+183
359,3.638979496616173e+252
360,8.894691084633913e+289
361,2.6486614012001752e+253
362,6.191579444245235e+257
363,1.2990258922385022e+234
364,4.337230419075319e+197
365,6.542439020698783e+233
366,1.8192629616231396e+174
367,3.5081044857114802e+289
368,9.72729063086477e+174
369,2.9424433617335334e+187
370,1.5168876845426545e+207
371,1.4563024026240077e+261
372,9.190638923623621e+238
373,3.844376924743907e+181
374,2.2766267690765186e+204
375,2.709223857064004e+280
376,2.4647310584654736e+289
377,5.390214476152544e+244
378,2.739093592645744e+217
379,1.468134186743247e+288
380,6.393433378559628e+246
381,2.682987449952337e+242
382,2.7978999714208846e+230
383,1.4047940409204398e+217
384,6.13013620251246e+268
385,7.457606469197844e+277
386,7.0677287658098525e+283
387,2.075059326676252e+281
388,6.415193412767042e+272
389,2.3444293504627054e+225
390,4.48377145900237e+210
391,4.613283481445121e+280
392,5.5013730082776765e+287
393,6.908639566753818e+223
394,8.037200231725923e+210
395,2.3991489462124568e+246
396,2.2403689524717637e+173
397,2.3321084874717025e+225
398,2.891116811265601e+263
399,1.4111422882439381e+270
400,4.374242371286628e+189
401,3.800557409507032e+262
402,5.2382575758922e+289
403,5.109200051917973e+289
404,1.320522502213249e+229
405,2.9435328390878206e+243
406,1.5602468148381171e+193
407,2.6311880298725412e+289
408,4.034569227836917e+189
409,1.3720288008453813e+281
410,3.8628198489766264e+239
411,3.675737569102266e+260
412,4.902562685160828e+217
413,3.4945249444111996e+198
414,5.959755578593298e+235
415,2.783453570989538e+227
416,6.676489822674027e+197
417,7.7485844233773145e+289
418,2.0878676940897908e+189
419,3.415061428378207e+211
420,6.251965258295807e+231
421,5.972271469877254e+264
422,1.3918475507507502e+289
