,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,state_t,k_ast_t,gamma_t
0,0.0,0.49758976934490373,0.3936,0.0001983855104967611,0.0,-1.0,0.0
1,1.0,0.5022259683168182,0.9917,0.0002027855497021066,0.0,1.0,0.0
2,2.0,0.5068605301758411,0.9917,0.00020835073882239454,0.0,1.0,0.0
3,3.0,0.5114920251730897,0.9917,0.00021401304622336526,0.0,1.0,0.0
4,4.0,0.5161190283652392,0.9917,0.0002197721819643316,0.0,1.0,0.0
5,5.0,0.5207401216990856,0.9917,0.00022562779398642131,0.0,1.0,0.0
6,6.0,0.5253538960734037,0.9917,0.00023157946874931423,0.0,1.0,0.0
7,7.0,0.5299589533715535,0.9917,0.0002376267320007138,0.0,1.0,0.0
8,8.0,0.5345539084583811,0.9917,0.000243769049675411,0.0,1.0,0.0
9,9.0,0.5391373911352225,0.9917,0.0002500058289202054,0.0,1.0,0.0
10,10.0,0.5437080480470088,0.9917,0.0002563364192404696,0.0,1.0,0.0
11,11.0,0.5482645445357656,0.9917,0.0002627601137636456,0.0,1.0,0.0
12,12.0,0.552805566435052,0.9917,0.0002692761506145154,0.0,1.0,0.0
13,13.0,0.5573298218002473,0.9917,0.0002758837143966594,0.0,1.0,0.0
14,14.0,0.5618360425699367,0.9917,0.00028258193777417023,0.0,1.0,0.0
15,15.0,0.5663229861539186,0.9917,0.00028936990314729647,0.0,1.0,0.0
16,16.0,0.5707894369439104,0.9917,0.0002962466444154357,0.0,1.0,0.0
17,17.0,0.575234207743223,0.9917,0.0003032111488206096,0.0,1.0,0.0
18,18.0,0.5796561411123049,0.9917,0.00031026235886435176,0.0,1.0,0.0
19,19.0,0.5840541106272328,0.9917,0.00031739917429074666,0.0,1.0,0.0
20,20.0,0.588427022048875,0.9917,0.00032462045412825585,0.0,1.0,0.0
21,21.0,0.5927738144007532,0.9917,0.0003319250187828571,0.0,1.0,0.0
22,22.0,0.5970934609540451,0.9917,0.00033931165217496764,0.0,1.0,0.0
23,23.0,0.601384970118706,0.9917,0.0003467791039126688,0.0,1.0,0.0
24,24.0,0.6056473862399985,0.9917,0.00035432609149372435,0.0,1.0,0.0
25,25.0,0.6098797903001582,0.9917,0.00036195130252900137,0.0,1.0,0.0
26,26.0,0.6140813005253655,0.9917,0.0003696533969800079,0.0,1.0,0.0
27,27.0,0.6182510728985321,0.9917,0.0003774310094033943,0.0,1.0,0.0
28,28.0,0.622388301578793,0.9917,0.00038528275119547727,0.0,1.0,0.0
29,29.0,0.6264922192289969,0.9917,0.00039320721283002077,0.0,1.0,0.0
30,30.0,0.6305620972527288,0.9917,0.00040120296608277506,0.0,1.0,0.0
31,31.0,0.6345972459427845,0.9917,0.00040926856623653906,0.0,1.0,0.0
32,32.0,0.6385970145433709,0.9917,0.00041740255426077355,0.0,1.0,0.0
33,33.0,0.6425607912283686,0.9917,0.00042560345896014575,0.0,1.0,0.0
34,34.0,0.6464880029984897,0.9917,0.00043386979908665777,0.0,1.0,0.0
35,35.0,0.650378115500234,0.9917,0.00044220008541040007,0.0,1.0,0.0
36,36.0,0.6542306327697687,0.9917,0.0004505928227442741,0.0,1.0,0.0
37,37.0,0.6580450969050778,0.9917,0.0004590465119184456,0.0,1.0,0.0
38,38.0,0.6618210876698656,0.9917,0.0004675596517005993,0.0,1.0,0.0
39,39.0,0.6655582220327505,0.9917,0.0004761307406584353,0.0,1.0,0.0
40,40.0,0.6692561536455334,0.9917,0.00048475827896131266,0.0,1.0,0.0
41,41.0,0.6729145722642462,0.9917,0.0004934407701181264,0.0,1.0,0.0
42,42.0,0.6765332031168858,0.9917,0.000502176722649106,0.0,1.0,0.0
43,43.0,0.6801118062216498,0.9917,0.0005109646516893495,0.0,1.0,0.0
44,44.0,0.6836501756596065,0.9917,0.000519803080522425,0.0,1.0,0.0
45,45.0,0.6871481388056702,0.9917,0.00052869054204264,0.0,1.0,0.0
46,46.0,0.6906055555217439,0.9917,0.0005376255801449169,0.0,1.0,0.0
47,47.0,0.6940223173158505,0.9917,0.0005466067510415371,0.0,1.0,0.0
48,48.0,0.697398346471027,0.9917,0.000555632624505329,0.0,1.0,0.0
49,49.0,0.7007335951476747,0.9917,0.0005647017850391601,0.0,1.0,0.0
50,50.0,0.7040280444629755,0.9917,0.0005738128329718393,0.0,1.0,0.0
51,51.0,0.7072817035508664,0.9917,0.0005829643854808685,0.0,1.0,0.0
52,52.0,0.7104946086060323,0.9917,0.0005921550775426412,0.0,1.0,0.0
53,53.0,0.7136668219151381,0.9917,0.0006013835628109631,0.0,1.0,0.0
54,54.0,0.7167984308785181,0.9917,0.0006106485144249671,0.0,1.0,0.0
55,55.0,0.7198895470253157,0.9917,0.0006199486257476974,0.0,1.0,0.0
56,56.0,0.7229403050249839,0.9917,0.0006292826110367647,0.0,1.0,0.0
57,57.0,0.7259508616978944,0.9928,0.0006386750161388788,0.0,1.0,0.0
58,58.0,0.728921395027635,0.9928,0.0006481122604876122,0.0,1.0,0.0
59,59.0,0.7318521031774765,0.9928,0.0006575807881844565,0.0,1.0,0.0
60,60.0,0.7347432035132878,0.9928,0.0006670794077403269,0.0,1.0,0.0
61,61.0,0.7375949316350611,0.9928,0.0006766069506756611,0.0,1.0,0.0
62,62.0,0.7404075404190238,0.9928,0.000686162271828594,0.0,1.0,0.0
63,63.0,0.7431812990722221,0.9928,0.0006957442496088553,0.0,1.0,0.0
64,64.0,0.7459164922012311,0.9928,0.0007053517861996746,0.0,1.0,0.0
65,65.0,0.7486134188965772,0.9928,0.0007149838077099453,0.0,1.0,0.0
66,66.0,0.7512723918342612,0.9928,0.0007246392642789374,0.0,1.0,0.0
67,67.0,0.7538937363956785,0.9928,0.0007343171301359036,0.0,1.0,0.0
68,68.0,0.7564777898070334,0.9928,0.000744016403616857,0.0,1.0,0.0
69,69.0,0.7590249002992846,0.9928,0.0007537361071408834,0.0,1.0,0.0
70,70.0,0.7615354262894912,0.9928,0.0007634752871482379,0.0,1.0,0.0
71,71.0,0.7640097355843043,0.9928,0.000773233014002539,0.0,1.0,0.0
72,72.0,0.7664482046062557,0.9928,0.0007830083818592963,0.0,1.0,0.0
73,73.0,0.7688512176433756,0.9928,0.0007928005085029627,0.0,1.0,0.0
74,74.0,0.7712191661225555,0.9928,0.0008026085351547166,0.0,1.0,0.0
75,75.0,0.7735524479069902,0.9928,0.0008124316262530515,0.0,1.0,0.0
76,76.0,0.7758514666179288,0.9928,0.0008222689692092604,0.0,1.0,0.0
77,77.0,0.7781166309808841,0.9928,0.000832119774139804,0.0,1.0,0.0
78,78.0,0.7803483541963501,0.9928,0.0008419832735775482,0.0,1.0,0.0
79,79.0,0.7825470533350356,0.9928,0.0008518587221636794,0.0,1.0,0.0
80,80.0,0.7847131487575053,0.9928,0.0008617453963221673,0.0,1.0,0.0
