,0
0,1.1659464315022823e+36
1,1.1768605175674524e+36
2,1.187876439476419e+36
3,1.1989951442998952e+36
4,1.210217587886527e+36
5,1.2215447349440181e+36
6,1.2329775591206951e+36
7,1.2445170430891337e+36
8,1.2561641786279262e+36
9,1.2679199667067793e+36
10,1.2797854175712105e+36
11,1.2917615508281378e+36
12,1.3038493955323824e+36
13,1.3160499902738543e+36
14,1.3283643832656433e+36
15,1.340793632432844e+36
16,1.3533388055019343e+36
17,1.366000980092482e+36
18,1.378781243806676e+36
19,1.3916806943226603e+36
20,1.4047004394873107e+36
21,1.4178415974100496e+36
22,1.4311052965576222e+36
23,1.4444926758496872e+36
24,1.458004884755288e+36
25,1.4716430833902995e+36
26,1.4854084426152424e+36
27,1.4993021441359163e+36
28,1.513325380601392e+36
29,1.5274793557064354e+36
30,1.5417652842929976e+36
31,1.556184392453225e+36
32,1.570737917633174e+36
33,1.5854271087375836e+36
34,1.6002532262356816e+36
35,1.6152175422678944e+36
36,1.6303213407530545e+36
37,1.6455659174986883e+36
38,1.6609525803084e+36
39,1.6764826490940598e+36
40,1.6921574559871752e+36
41,1.7079783454515708e+36
42,1.7239466743971835e+36
43,1.7400638122948203e+36
44,1.75633114129215e+36
45,1.772750056330521e+36
46,1.7893219652626116e+36
47,1.8060482889731644e+36
48,1.822930461496678e+36
49,1.8399699301404164e+36
50,1.8571681556063208e+36
51,1.8745266121145654e+36
52,1.892046787528291e+36
53,1.9097301834793248e+36
54,1.9275783154952064e+36
55,1.9455927131272987e+36
56,1.9637749200796863e+36
57,1.9821264943413796e+36
58,2.0006490083154605e+36
59,2.019344048953707e+36
60,2.038213217890249e+36
61,2.0572581315770012e+36
62,2.076480421420206e+36
63,2.095881733918367e+36
64,2.1154637308012806e+36
65,2.1352280891705412e+36
66,2.1551765016406822e+36
67,2.1753106764841474e+36
68,2.1956323377727047e+36
69,2.2161432255249134e+36
70,2.2368450958528075e+36
71,2.257739721110036e+36
72,2.2788288900416273e+36
73,2.3001144079350613e+36
74,2.3215980967727157e+36
75,2.343281795385607e+36
76,2.3651673596082856e+36
77,2.3872566624374802e+36
78,2.409551594187213e+36
79,2.4320540626503538e+36
80,2.4547659932591387e+36
81,2.477689329247762e+36
82,2.5008260318163313e+36
83,2.5241780802964078e+36
84,2.5477474723180496e+36
85,2.571536223978342e+36
86,2.5955463700109123e+36
87,2.6197799639599953e+36
88,2.6442390783502532e+36
89,2.6689258048637166e+36
90,2.6938422545158784e+36
91,2.718990557833698e+36
92,2.7443728650352045e+36
93,2.7699913462109665e+36
94,2.7958481915070594e+36
95,2.821945611309705e+36
96,2.8482858364311406e+36
97,2.8748711183001525e+36
98,2.90170372914815e+36
99,2.928785962203192e+36
100,2.956120131882823e+36
101,2.9837085739889607e+36
102,3.0115536459049785e+36
103,3.039657726794262e+36
104,3.068023217800795e+36
105,3.09665254225149e+36
106,3.125548145859698e+36
107,3.154712496934026e+36
108,3.184148086582333e+36
109,3.213857428924032e+36
110,3.243843061301617e+36
111,3.274107544494059e+36
112,3.3046534629327193e+36
113,3.3354834249189736e+36
114,3.36660006284391e+36
115,3.398006033409935e+36
116,3.429704017853847e+36
117,3.4616967221757105e+36
118,3.4939868773619085e+36
119,3.526577239618442e+36
120,3.5594705906018747e+36
121,3.5926697376538086e+36
122,3.626177514037014e+36
123,3.6599967791739653e+36
124,3.694130418887598e+36
125,3.728581345644073e+36
126,3.763352498797908e+36
127,3.798446844838539e+36
128,3.8338673776432485e+36
129,3.869617118724062e+36
130,3.905699117485406e+36
131,3.942116451479585e+36
132,3.9788722266658524e+36
133,4.0159695776716996e+36
134,4.053411668056439e+36
135,4.091201690577246e+36
136,4.12934286745795e+36
137,4.167838450658628e+36
138,4.2066917221530816e+36
139,4.245905994199315e+36
140,4.285484609621428e+36
141,4.3254309420900394e+36
142,4.365748396405775e+36
143,4.406440408785359e+36
144,4.4475104471507324e+36
145,4.48896201142028e+36
146,4.530798633803293e+36
147,4.5730238790952986e+36
148,4.6156413449823084e+36
149,4.658654662336521e+36
150,4.702067495525808e+36
151,4.745883542720437e+36
152,4.7901065362036966e+36
153,4.8347402426855586e+36
154,4.879788463619112e+36
155,4.925255035519691e+36
156,4.971143830287255e+36
157,5.017458755530575e+36
158,5.064203754899535e+36
159,5.1113828084098293e+36
160,5.158999932781588e+36
161,5.207059181775521e+36
162,5.255564646533203e+36
163,5.3045204559206233e+36
164,5.353930776874783e+36
165,5.403799814753236e+36
166,5.45413181368742e+36
167,5.504931056937501e+36
168,5.55620186725672e+36
169,5.60794860724665e+36
170,5.660175679728638e+36
171,5.712887528111423e+36
172,5.766088636764317e+36
173,5.819783531393436e+36
174,5.873976779421273e+36
175,5.928672990369722e+36
176,5.983876816246834e+36
177,6.039592951935815e+36
178,6.095826135593895e+36
179,6.152581149041767e+36
180,6.20986281816993e+36
181,6.267676013342005e+36
182,6.326025649802968e+36
183,6.384916688091471e+36
184,6.444354134455628e+36
185,6.504343041272632e+36
186,6.564888507472334e+36
187,6.625995678963076e+36
188,6.687669749068798e+36
189,6.749915958955786e+36
190,6.812739598077443e+36
191,6.876146004616224e+36
192,6.940140565930783e+36
193,7.004728719007535e+36
194,7.069915950915893e+36
195,7.135707799268367e+36
196,7.202109852684042e+36
197,7.269127751255145e+36
198,7.336767187026242e+36
199,7.405033904460697e+36
200,7.473933700928631e+36
201,7.543472427190864e+36
202,7.613655987888355e+36
203,7.684490342037034e+36
204,7.755981503526518e+36
205,7.828135541623499e+36
206,7.900958581480062e+36
207,7.974456804644307e+36
208,8.048636449585354e+36
209,8.123503812204267e+36
210,8.199065246368249e+36
211,8.275327164440812e+36
212,8.352296037818052e+36
213,8.429978397470239e+36
214,8.508380834488604e+36
215,8.587510000635778e+36
216,8.667372608903547e+36
217,8.747975434071474e+36
218,8.829325313281601e+36
219,8.911429146598965e+36
220,8.994293897596104e+36
221,9.077926593933724e+36
222,9.162334327947907e+36
223,9.24752425724372e+36
224,9.333503605293405e+36
225,9.4202796620401e+36
