,0
0,1.0652071185365675e+51
1,1.1576612146832344e+44
2,7.402914889188662e+38
3,3.8841926063469875e+48
4,5.295333753684075e+57
5,1.6156682822331965e+57
6,1.6370671626322038e+37
7,9.006484179819742e+50
8,3.3227443741109444e+57
9,2.5635789110393833e+39
10,8.692263925681639e+54
11,6.800092721362128e+54
12,1.448391813161086e+58
13,1.89622209505457e+47
14,6.033046848297789e+44
15,5.760053146635403e+38
16,3.8374873173408953e+58
17,2.192423820999637e+58
18,4.4765024780866106e+58
19,2.752597326284893e+58
20,3.2253779211367815e+50
21,6.8348141846844e+56
22,2.483689437894322e+56
23,2.549100142673987e+58
24,3.139242491160705e+57
25,8.55992592576268e+52
26,9.605839187527928e+48
27,4.436702042703123e+45
28,1.1532391359865465e+38
29,8.412635564993115e+49
30,4.479562892942304e+48
31,6.534621037320646e+39
32,4.5009962700997394e+52
33,1.1451351093081185e+49
34,2.725166944612884e+58
35,2.2152576139772376e+53
36,1.3655295959826816e+45
37,3.3902187187100134e+51
38,4.414598348755194e+58
39,4.134700731703745e+56
40,2.7785627574299737e+54
41,6.958880259332746e+36
42,3.404355956968711e+54
43,2.352430640137774e+39
44,4.7754793862162315e+52
45,3.806981628926412e+48
46,1.8990138372930282e+58
47,1.4647684587923963e+58
48,8.896189417342096e+57
49,2.901311935044983e+43
50,1.03784117684153e+39
51,5.69660074268929e+53
52,4.6379637489485887e+48
53,3.777323820860963e+44
54,1.852795111130501e+36
55,5.859407874714402e+36
56,2.7404158023415846e+56
57,6.1556678652983426e+38
58,1.4905858894706961e+46
59,6.102642610929942e+56
60,7.413971383986485e+41
61,3.382677017088648e+58
62,1.9769988485729604e+53
63,5.6686682804359375e+57
64,4.2903465036852616e+45
65,6.930826571844155e+52
66,5.161092751429434e+58
67,7.0242820006811975e+37
68,7.053946898144178e+36
69,5.547575121078893e+58
70,1.8582816333703267e+58
71,1.8786999384724136e+58
72,5.202922499980094e+58
73,1.0060502884504383e+57
74,2.61068148603763e+58
75,1.3320678864591975e+38
76,2.7055899343399495e+57
77,1.2200213705056781e+55
78,5.730566200432048e+36
79,1.6714401748647413e+58
80,3.49100478725184e+49
81,5.116684360208851e+58
82,5.030015781556193e+58
83,2.7137763329043258e+38
84,2.3139903143318838e+52
85,1.3902960773168024e+58
86,1.3288269262691852e+26
87,2.656605905633231e+50
88,1.3371770667295084e+55
89,6.568353404464966e+41
90,3.2563846116226747e+38
91,5.0706165122390994e+57
92,1.4406613350149947e+56
93,8.88852415698995e+52
94,4.52650900571099e+51
95,1.0855322156692705e+37
96,4.967715570549738e+47
97,6.676572172836465e+54
98,6.5306111312328195e+47
99,1.4992816868104628e+46
100,5.0179863442130296e+36
101,6.607226500144643e+45
102,2.1345867597647734e+46
103,3.6593793128754704e+42
104,3.965820621853895e+50
105,2.298371730400239e+54
106,1.9244390014869376e+39
107,6.62047129714216e+57
108,5.863364855867829e+56
109,8.027729336821145e+46
110,5.291456514938946e+53
111,1.1825039295409413e+54
112,8.4143784185473e+44
113,8.371945580043833e+57
114,5.108341661770616e+58
115,2.5242205197836463e+38
116,2.0615685438802426e+36
117,1.437357400762708e+38
118,1.4016745315239978e+42
119,1.3021595271807376e+54
120,4.9304521207400566e+58
121,2.2573600632565754e+38
122,6.5659812304265735e+56
123,4.075892979170404e+38
124,2.8726726431935524e+54
125,9.985315039972913e+46
126,4.941972721933743e+58
127,1.0677604086856035e+49
128,1.0686717150592727e+56
129,1.19465358628499e+57
130,8.070575661030518e+57
131,4.2551560956940185e+58
132,3.125894061621099e+55
133,5.544516414038781e+54
134,5.553612026309076e+58
135,5.061585068737048e+45
136,1.313817129832594e+56
137,2.981560730682658e+44
138,5.463495584555316e+58
139,4.750793221851905e+55
140,1.8496919424022307e+43
141,7.550895992322316e+57
142,1.7820200945043932e+40
143,2.9841081055132365e+52
144,2.3986630328866317e+40
145,5.199279960690206e+58
146,6.075850070830673e+38
147,2.258566261743092e+56
148,8.324162198769727e+56
149,1.7808940746524306e+36
150,1.7219900168896846e+39
151,1.704211115198004e+58
152,4.051911410313535e+54
153,1.8378246807684894e+36
154,1.598576048746579e+48
155,2.4687337959268656e+41
156,4.4336617771883657e+58
157,8.591975448203085e+50
158,7.196826599177624e+41
159,4.3860668009112295e+47
160,3.797708721288769e+48
161,3.2960886422729276e+40
162,2.3110734135557027e+38
163,3.502401667252243e+58
164,1.8810292406804573e+58
165,2.086373765870285e+52
166,3.3076181516724127e+39
167,7.19096400282195e+36
168,1.8584500462938702e+58
169,4.2510517380839873e+58
170,3.2950348408380454e+58
171,1.6502243849307513e+36
172,9.229369522395865e+52
173,3.342998856565275e+55
174,5.551631575835649e+50
175,4.139835174399984e+54
176,7.991524959285426e+52
177,1.0032196536925693e+43
178,7.824211450197353e+47
179,4.982810192538169e+52
180,8.985183716063134e+54
181,2.8461558585379103e+52
182,5.095777196199544e+57
183,3.2304768145951412e+50
184,2.3039564796524556e+58
185,1.4087393082021102e+58
186,7.479577537001516e+48
187,3.287211559519183e+58
188,3.1360740753869127e+36
189,2.1340578543103607e+44
190,4.584195259212296e+53
191,1.8629756753620758e+57
192,5.347240520899588e+43
193,3.0487065762722742e+57
194,1.6262265390070105e+52
195,1.4521435486086207e+53
196,1.689281992915829e+51
197,2.0491499105965689e+52
198,2.7694748699087977e+38
199,9.790214175386292e+40
200,7.480860549751194e+51
201,1.1199621502889299e+54
202,4.0436400671930495e+45
203,1.7507203580808177e+42
204,1.1726824407677234e+39
205,8.639446201447353e+45
206,3.3365328045893e+46
207,4.376505442584681e+55
208,1.0121835290929562e+41
209,1.1223358610526278e+56
210,2.686585614133413e+58
211,5.4363924553038095e+57
212,4.315726748792628e+56
213,3.1332984290900763e+52
214,2.8163071937705644e+57
215,1.8526151990331144e+46
216,1.416531945529907e+58
217,1.9544612522319943e+51
218,7.069415997147347e+42
219,5.33889421004152e+58
220,4.8501899718685364e+58
221,9.436498861793806e+49
222,1.1293778316526485e+50
223,5.428498277594262e+52
224,7.02350475982419e+36
225,1.632493314795029e+48
226,5.389339578982577e+52
227,4.4081215785446855e+58
228,9.945185875299849e+38
229,1.1414692192271394e+57
230,4.695653665469023e+58
231,7.206562444676139e+45
232,1.9165909640833145e+55
233,4.7311514942682663e+58
234,2.6280648438175205e+43
235,9.596333766307779e+53
236,3.109590635585047e+58
237,5.468854779977406e+51
238,7.483145910329559e+57
239,3.8811274272736975e+50
240,1.1337551710317433e+58
241,5.422409884544409e+57
242,4.1154038760137776e+52
243,7.391068394838281e+57
244,5.76990811902506e+42
245,4.987578298464104e+58
246,9.081505581671013e+52
247,3.8644437428515156e+37
248,1.1574624013413074e+43
249,1.9016941668648028e+41
250,3.639318429873901e+58
251,3.857211618584146e+49
252,3.5140577020707746e+38
253,1.7370264606169408e+52
254,5.179453200804523e+58
255,5.417040612339044e+58
256,4.805904941675569e+37
257,3.8219566663773285e+58
258,4.5729868826574735e+58
259,8.943469401236975e+36
260,1.0540407294285912e+46
261,2.824637822541831e+58
262,1.1846146177697549e+53
263,1.0571124606451833e+58
264,4.078144697048602e+37
265,1.3003024877993238e+58
266,4.617659501483367e+53
267,9.296986540880068e+53
268,6.896356464537815e+43
269,6.740133001614187e+53
270,4.5637705626206273e+46
271,2.121224030686692e+44
272,4.942554897773881e+53
273,5.62589273269916e+44
274,1.233508512814868e+47
275,1.2365039007886957e+41
276,3.51949185328513e+53
277,8.843943870448853e+50
278,1.3918872391542744e+56
279,4.469022135598001e+43
280,2.233844710948886e+53
281,1.6156625528584682e+47
282,3.885356264284893e+54
283,4.3007821896512004e+44
284,1.1835416302516863e+48
285,3.093387905925217e+58
286,5.101886519777732e+38
287,1.1434688392040226e+52
288,7.742586275481839e+45
289,4.291908886816063e+37
290,4.97332707840334e+43
291,8.659366215939908e+47
292,2.0133168272805546e+57
293,2.5616990363635015e+43
294,1.8534367259860135e+44
295,1.086116735314189e+48
296,9.136241121477948e+54
297,5.892343197091405e+55
298,4.0402194626602446e+41
299,2.2909186943022986e+49
300,2.3985536597540118e+48
301,5.289592606268166e+58
302,3.4700865477477286e+56
303,1.8547911226590457e+51
304,1.6798818013581193e+47
305,7.727259451738672e+43
306,5.305819038953428e+50
307,5.666269242553029e+55
308,4.95251385431894e+56
309,4.095535566504744e+57
310,9.996711330960903e+57
311,4.444001542866592e+44
312,3.249333220418482e+38
313,6.945845040920318e+45
314,3.7081480748275057e+53
315,1.1021184909343331e+58
316,1.2031122037552817e+57
317,9.022580365633813e+48
318,1.860990522397519e+38
319,9.360595964492734e+57
320,2.0747441136678956e+50
321,3.443365488753563e+53
322,1.1323329815029075e+41
323,1.2929926981719053e+57
324,5.03038944225215e+57
325,1.9976867806188536e+48
326,5.159453920901446e+58
327,8.018738636962112e+55
328,5.55224189803423e+58
329,1.5771380672481336e+47
330,2.1994094279775445e+57
331,2.4092773512375775e+43
332,2.8610613780068945e+58
333,9.025312333177805e+54
334,2.624235522837389e+47
335,2.1550463066164922e+51
336,3.995032557308561e+38
337,5.492944811952906e+50
338,4.650898943350574e+47
339,6.118324866913351e+36
340,6.4316237540189e+36
341,5.370616112972302e+50
342,5.0258138264907894e+51
343,2.504030045989435e+39
344,1.871621218191724e+47
345,8.260849670174903e+56
346,6.303393882556606e+45
347,4.4016442289947734e+52
348,4.345991182030673e+55
349,1.6119846842143278e+51
350,1.2779276276443223e+42
351,5.056766242914221e+55
352,1.620081817387873e+56
353,1.540151005648631e+55
354,3.318047964017654e+48
355,1.3278129294922497e+45
356,2.7794822269178564e+58
357,1.3186743107630194e+36
358,1.8566041775922553e+43
359,6.575588581760187e+48
360,1.7027630490585618e+47
361,3.5020562123165154e+43
362,5.24774816615051e+56
363,2.3147170190402994e+58
364,2.352084367540686e+57
365,5.923271182544334e+57
366,9.452223265639723e+36
367,1.5634655036040206e+43
368,2.434123830182701e+51
369,5.375300579873199e+48
370,1.1822008118589322e+40
371,4.740236339533873e+41
372,6.11176232448323e+42
373,9.550197127000141e+56
374,8.932230046266366e+51
375,4.5288492179945275e+54
376,1.6917165899965662e+45
377,2.1522960577653128e+57
378,9.56720183743168e+56
379,2.9018607945831656e+54
380,4.302175113750423e+58
381,4.0944124655455556e+58
382,5.572983042904958e+49
383,8.337472160175262e+56
384,1.9425138301938665e+58
385,1.328613851519425e+39
386,1.7560509873307913e+43
387,7.074445682435889e+55
388,3.245791607660713e+42
389,1.9847767314995396e+57
390,8.74219861185969e+53
391,9.87598015793413e+46
392,1.8023979651321472e+58
393,1.7040951190151266e+53
394,5.502581132472323e+58
395,5.720949803488617e+42
396,1.811157194493024e+58
397,5.136316198797382e+37
398,5.807983844353605e+56
399,7.882465683685402e+38
400,6.0967757213841226e+54
401,4.181146062028388e+39
402,1.2742033383287614e+51
403,2.8598260493521875e+55
404,6.22453855748924e+53
405,3.4980409879735045e+55
406,9.199889704752541e+48
407,5.413192109412448e+48
408,2.5905203939470047e+58
409,2.160907071208592e+41
410,1.9995612355424053e+56
411,1.2309579654758964e+58
412,5.550123439797633e+58
413,3.865735369052557e+53
414,4.9568336402057884e+58
415,9.959129300186469e+51
416,1.545335507680358e+58
417,1.3769391979202217e+46
418,2.4114493654965624e+47
419,8.658076667642395e+42
420,5.484959585558292e+54
421,2.457314453239411e+37
422,4.859562620928992e+56
423,1.3740733701269768e+58
424,1.6496358743355035e+52
425,4.1183742020451414e+49
426,5.463614230482103e+58
427,1.367121401390958e+58
428,1.9379804681153694e+53
429,3.4139963261542714e+47
430,2.481000200084869e+56
431,5.390145869325937e+43
432,3.509339920195333e+58
433,9.769710896474251e+39
434,1.3227066464474695e+46
435,1.8994496759031085e+49
436,7.452577423754966e+38
437,1.86035498418611e+45
438,6.82102538605874e+38
439,1.481092753116145e+50
440,5.204618022743683e+51
441,1.04160364258117e+46
442,8.903854591995418e+45
443,1.777548609286377e+55
444,1.4195488437343136e+57
445,1.3728460450477292e+37
446,5.876860604800505e+42
447,1.8095494935909036e+41
448,3.999847980600794e+57
449,2.7079093609732656e+57
450,1.524840074083145e+49
451,6.68240080068054e+36
452,1.1739648242031508e+47
453,2.525258943698568e+51
