,0
0,5.175041092410293e+35
1,6.638437979437506e+35
2,3.80807626259183e+35
3,9.387771205314443e+33
4,3.72886713820565e+35
5,6.01033542617802e+35
6,1.3632280308928886e+35
7,1.061750831678556e+36
8,9.625582927117574e+35
9,8.726835103406626e+35
10,1.0330422145454407e+36
11,5.169655647645095e+35
12,1.0153591711967176e+36
13,3.3838050113232465e+35
14,1.2307212471727614e+36
15,9.145280140121665e+35
16,6.971209452618985e+35
17,1.6463714748649856e+35
18,7.14284073113729e+35
19,1.2664579849741179e+36
20,1.0473297933114612e+35
21,1.1726911752590249e+36
22,6.797326865087337e+35
23,4.623903440325372e+35
24,1.2853765850509792e+36
25,1.2801109566904642e+36
26,1.1285475819706876e+36
27,7.477781743692966e+35
28,1.2624792947466658e+36
29,1.1129132677993103e+35
30,4.719485573197028e+35
31,1.1794063950630191e+36
32,8.542886284047576e+35
33,4.7973791640927515e+35
34,6.372031662086253e+34
35,1.3393608828935176e+36
36,9.778509278769361e+35
37,1.0035526352012879e+36
38,1.0431054121933167e+34
39,2.5098877950971594e+35
40,1.3882280708128407e+36
41,7.853260045142938e+35
42,8.093918859191213e+35
43,1.2930704980855103e+36
44,1.0815766351752864e+36
45,1.3690613044407078e+35
46,1.9858691065332993e+35
47,9.702935122071542e+35
48,1.3519285127539039e+35
49,2.4832379145994452e+35
50,9.933304527320608e+34
51,1.479730882089317e+36
52,7.033127156673777e+35
53,1.01279942617064e+36
54,8.28072020252356e+35
55,8.298141014734027e+35
56,1.1376747126314883e+36
57,9.441258232902788e+35
58,3.865113443065126e+35
59,9.4074094644317e+34
60,1.0621147481032483e+36
61,4.1687698628506866e+35
62,3.523164267658426e+35
63,1.5386380394645642e+36
64,1.2602574627610832e+36
65,1.5330374722736978e+36
66,2.9520742099283192e+35
67,1.5420806833509055e+36
68,4.070181443359334e+35
69,2.959255614853177e+35
70,7.948028547267257e+35
71,2.2392237150920312e+34
72,7.131820186722003e+35
73,1.334597323152759e+36
74,5.798052399820432e+35
75,1.6618269926587674e+36
76,4.868894641199564e+35
77,1.5449617040077255e+36
78,1.2394391016029006e+36
79,5.4905293078676715e+35
80,5.3064435662978736e+35
81,6.745742187879965e+35
82,1.5598095824455933e+36
83,8.163305389087226e+35
84,6.850125071024166e+35
85,7.090726397991045e+35
86,1.1118499681717398e+36
87,2.838833568423702e+35
88,1.5913696213392546e+36
89,3.746334440052974e+35
90,1.1062528278406163e+36
91,3.61414380156536e+35
92,9.221000838049479e+35
93,1.844915745438419e+35
94,1.2480096674377432e+36
95,5.153130667579125e+35
96,4.64931483370256e+35
97,1.0284510789077977e+36
98,4.815313389721242e+34
99,1.2144585805188743e+36
100,1.801250919015019e+36
101,4.182026117996703e+35
102,7.764460602474612e+35
103,3.419839810346765e+35
104,3.0602357553349096e+35
105,7.687848350849489e+35
106,1.6827079469390552e+36
107,4.291250220235098e+34
108,1.83827920510356e+36
109,2.7348156088885106e+35
110,9.634766726896398e+34
111,3.03066783820382e+35
112,8.290988181313382e+35
113,1.7947761018384062e+36
114,1.1160591574092935e+36
115,1.1737787533700306e+36
116,6.508013236681623e+35
117,3.0505619239213203e+35
118,1.4918258075243884e+36
119,7.136439297191895e+35
120,1.2840185122108478e+36
121,1.8034085760931774e+36
122,2.095036216386009e+36
123,2.0381234576871102e+36
124,1.0088578268606734e+36
125,1.1695551227654535e+36
126,5.867781469541089e+35
127,6.0084844070397695e+35
128,5.539178305166093e+35
129,1.0760439242288425e+36
130,7.663168403248306e+35
131,1.448665973769975e+36
132,2.2605299742408314e+35
133,2.2582963374868844e+34
134,8.814756779800042e+35
135,7.956455945979579e+35
136,2.118395743281041e+36
137,4.131536981710775e+35
138,1.475564484196294e+36
139,1.1558797843103367e+36
140,5.2446630599632084e+35
141,5.9414235328437816e+35
142,3.6574565321992e+35
143,6.444872842646727e+35
144,9.658522275559349e+34
145,6.5946167184094705e+35
146,4.470992708086199e+35
147,1.4197558057042182e+36
148,2.1074827415362852e+36
149,3.1034411280161552e+35
150,1.4158738828963586e+36
151,9.090178021332175e+34
152,1.8320941857884568e+36
153,6.5676199681190266e+35
154,1.7524554883653587e+36
155,1.5909674978028664e+36
156,2.427762818969941e+36
157,1.9620760248719864e+36
158,2.4203989174980823e+36
159,4.585790799798615e+35
160,1.4318113381113136e+36
161,1.1024501611133636e+36
162,4.9347061049665006e+35
163,2.1855064019656103e+36
164,6.944484305979662e+35
165,1.3968496342858274e+36
166,3.5306339982369857e+34
167,1.8066116309872528e+36
168,5.6606567976374536e+35
169,1.135489935501505e+36
170,2.0353293997651437e+36
171,2.4948128385300457e+36
172,1.8485941255891403e+36
173,1.4350113581217793e+36
174,8.075700510907273e+35
175,3.353125227147968e+35
176,9.771658604367573e+35
177,2.2989608821312142e+36
178,2.156473754575085e+36
179,9.477851971313233e+34
180,2.747188741213843e+36
181,2.424233872250933e+36
182,2.5426409032258288e+36
183,4.332728582301992e+34
184,1.3729726990419014e+36
185,2.3221126293128326e+36
186,1.7225184094501007e+36
187,2.857322903183712e+36
188,2.8309137937396775e+36
189,1.3917764766182261e+35
190,1.4401930032350394e+36
191,1.2719685535460706e+36
192,1.6622399728226617e+36
193,1.7254125808209096e+35
194,1.3680384891884106e+36
195,2.5530061724036322e+36
196,1.7437270393810356e+36
197,5.116592594142551e+35
198,1.363247329092927e+36
199,4.8131693133729876e+35
200,3.71003055101019e+35
201,8.364038926480871e+35
202,1.0915606241679906e+36
203,8.280775709232745e+35
204,7.974266629155021e+35
205,1.7594380354257794e+36
206,2.4216816879354682e+35
207,9.239973955590905e+35
208,2.633482592440168e+36
209,2.1534337772956508e+36
210,2.5977137401888164e+36
211,1.8075647256214382e+36
212,4.502341438730998e+35
213,8.992778375173749e+35
214,3.014793568293001e+36
215,2.5866141105052838e+36
216,5.076803669981641e+35
217,2.263875459318956e+34
218,1.6414136424218546e+36
219,1.0137748675188417e+36
220,1.7504219751367046e+36
221,9.607441867894767e+35
222,3.1154334475760613e+36
223,3.0551498550200077e+36
224,3.134013904667828e+36
225,1.816862294027232e+36
226,1.4292337201422838e+36
227,1.2370866620398524e+36
228,1.1949815991204051e+35
229,1.0129088242463613e+36
230,3.119229155779937e+36
231,2.9179908293040116e+36
232,1.5871194327722877e+36
233,2.1275852249079177e+36
234,4.2216005974859705e+35
235,1.817803920509133e+35
236,6.446299138026579e+35
237,1.1093427101758053e+36
238,3.492991052848621e+36
239,1.8763302738604297e+36
240,6.766938785132059e+35
241,1.1011939454436309e+36
242,1.3200070208465173e+36
243,2.3655351343699705e+36
244,1.9159104019485066e+36
245,2.699581069977958e+36
246,2.1046937321783428e+36
247,2.2258468547138242e+36
248,1.0858785971194832e+36
249,3.4019410789064106e+35
250,2.594502257281745e+35
251,2.5560968849311455e+35
252,1.2299020655337473e+36
253,3.8201056888444796e+35
254,2.2504940221231782e+36
255,2.3227944397683002e+36
256,7.402817231560828e+33
257,8.472964467708305e+35
258,7.203679686876432e+34
259,2.6580255025561514e+36
260,1.6009415346695405e+36
261,1.1618381928143325e+36
262,2.833400363346816e+36
263,3.5017771718274624e+36
264,3.917402560692701e+35
265,1.6110533244597596e+36
266,1.0171855277503705e+36
267,4.027798009939941e+36
268,2.274407964720701e+36
269,1.677754791681102e+36
270,9.790494833908773e+35
271,9.530328567514422e+35
272,1.0898762159084493e+36
273,1.9122649882182176e+36
274,4.688851856963847e+35
275,3.2297811864175415e+36
276,3.082606942721572e+36
277,2.8643851114135775e+36
278,3.513347370572005e+36
279,4.296592043726093e+36
280,4.2459367435285594e+36
281,3.0537030805756825e+36
282,2.649287883401821e+36
283,1.5155094172699382e+36
284,2.7340185213132857e+36
285,1.401126011925937e+35
286,2.2493335269813426e+35
287,2.8279800192489174e+36
288,4.3864002217996025e+36
289,3.9900952644513005e+36
290,1.173031068995914e+36
291,1.7262272248795755e+35
292,4.4152499797707083e+36
293,4.3927693002776187e+36
294,1.6251099851933044e+36
295,1.4823331880869418e+35
296,3.166992592419224e+35
297,4.36384242886038e+36
298,3.281255148144177e+36
299,4.5529152193385656e+36
300,2.5756976306350035e+36
301,7.209162651208363e+35
302,2.6194365802527187e+35
303,2.575316294371156e+36
304,3.069428661024261e+36
305,2.0092185450377352e+36
306,3.7912603720918647e+36
307,1.5852817494318362e+36
308,3.1194895973501964e+36
309,1.346829997083269e+36
310,3.010648230752976e+36
311,4.5250053149981704e+36
312,2.532338517684239e+36
313,6.273017667233155e+35
314,2.4648636543683996e+35
315,2.78047743258273e+36
316,5.3237738582897576e+35
317,2.9125313643731184e+36
318,2.7573093764398037e+36
319,2.0432965287710092e+36
320,1.4586354447743705e+36
321,5.282925312922005e+36
322,4.160827845497535e+36
323,3.835046037227186e+36
324,5.532880796511417e+35
325,1.5020146050985407e+36
326,3.5845893408501166e+36
327,1.9728118375220247e+36
328,8.958572534436287e+35
329,1.2508739850607364e+35
330,4.1553615874943105e+36
331,6.915978168432735e+35
332,5.231161494034644e+36
333,3.1780024817534086e+36
334,5.035850145157913e+36
335,4.847815453614993e+36
336,5.408980393913977e+36
337,7.332040757669828e+35
338,3.3110902385542715e+36
339,9.899873154693486e+35
340,1.178357843643132e+36
341,4.278733402838925e+36
342,2.6225817151202592e+36
343,3.7567418614893516e+36
344,2.9865042445907484e+36
345,3.40726271046786e+36
346,2.9343984456779784e+36
347,1.7755988011234906e+36
348,2.4781676294183048e+36
349,1.1877229442998765e+36
350,4.517373818767731e+36
351,4.43447275707047e+36
352,5.2506316068377965e+36
353,1.1423868549889406e+36
354,4.0301189752608966e+36
355,2.1033379396034054e+36
356,5.126225742989492e+36
357,3.847325508913763e+36
358,6.662484524113364e+35
359,4.2885163359277503e+36
360,9.142061257381026e+35
361,6.51391911102212e+36
362,2.877297140311307e+36
363,5.439222059043021e+35
364,2.356230486313711e+36
365,5.919081731964175e+36
366,6.179721394623579e+36
367,2.2947089818051806e+36
368,2.9421916044022727e+36
369,2.039341640714288e+36
370,1.0333480970917454e+36
371,1.1577589752607163e+36
372,4.301219351765038e+36
373,5.582203529301551e+36
374,6.901229863829173e+36
375,1.5706812836421754e+36
376,6.888312708768699e+36
377,5.221563904250753e+36
378,2.2467613047815017e+36
379,4.172080377470559e+36
380,4.9890295102690895e+36
381,6.65301078705107e+36
382,2.073577342810625e+36
383,4.7776319388502896e+36
384,3.98496474804806e+36
385,4.8976251652617826e+36
386,6.390359129663337e+36
387,6.149085294178219e+36
388,1.9822997523445505e+36
389,5.706061596291357e+36
390,1.0830974766816617e+36
391,2.5993308535701697e+36
392,5.861800205437287e+36
393,1.4125822731289992e+36
394,3.148473037407409e+36
395,6.199251844918717e+36
396,6.569283870421462e+36
397,5.092592916230309e+36
398,6.200250503976111e+36
399,2.5260713030237252e+36
400,4.3253760616813987e+36
401,5.425262385224096e+36
402,7.409046413990843e+36
403,2.3946262167230137e+36
404,5.536211225994034e+36
405,7.6254438579027e+36
406,4.9972120086946976e+36
407,3.647896001070787e+36
408,3.9630936104012675e+36
409,4.791883607571566e+36
410,3.0078985993733977e+36
411,2.888545138010536e+36
412,4.476467901005534e+34
413,6.976018628516346e+35
414,4.872041635840805e+36
415,5.79712620551707e+36
416,2.280254147872621e+36
417,5.80983205425514e+36
418,7.516073680923684e+36
419,5.23866673537909e+36
420,2.669144863962186e+35
421,3.872723608951946e+36
422,3.7123594251320365e+36
423,2.1560998758671206e+36
424,8.164463171788858e+36
425,2.4610606744552765e+36
426,6.010141874185913e+36
427,2.9653537766066625e+36
428,2.8335362340917835e+36
429,7.810648481235214e+36
430,1.9378389187350863e+36
431,5.809319835291755e+36
432,2.2080404833562003e+36
433,6.815755535586645e+36
434,4.707228927491181e+36
435,2.5486202961207884e+35
436,8.504146058329813e+36
437,5.708972130391243e+36
438,3.190121077148596e+36
439,1.6799202612754752e+36
440,7.952563010260155e+35
441,6.271642171470693e+36
442,2.36821842969928e+36
443,2.7492232265597434e+36
444,4.7637472126559455e+35
445,8.062407140800526e+36
446,7.030361829157742e+36
447,4.237890926455557e+36
448,2.912572746385637e+36
449,2.73582668409801e+36
450,7.332156410818138e+36
451,7.787444080367926e+36
452,1.4546594220052486e+36
453,8.507408800707594e+36
454,1.3889171646504662e+36
455,4.532767187303188e+36
456,2.1381641167603955e+36
457,5.955605095857911e+36
458,1.2707340816338488e+36
459,9.726866807947737e+36
460,2.90959745554746e+36
461,2.578640714213387e+36
462,3.8118828349707693e+36
463,6.31295777237819e+36
464,9.029470778058628e+36
465,7.944656102574013e+36
466,9.913486376924929e+36
467,2.3625396226099702e+36
468,8.270344902108232e+36
469,1.0010718760895335e+37
470,8.320492589809361e+36
471,2.0736335203266256e+36
472,6.013808187627772e+35
473,1.0621090724742969e+37
474,1.8739745924930278e+36
475,1.065388504010227e+37
476,7.315089148315925e+36
477,1.0474906888177549e+37
478,5.028155710394659e+36
479,1.810949425335045e+36
480,2.5797587741825625e+36
481,9.249123929748927e+36
482,2.2768077242197307e+36
483,2.300449610564375e+36
484,3.2331550257428506e+36
485,9.556059707272976e+36
486,8.220427731093964e+36
487,5.1243924649342303e+36
488,8.572192383941368e+36
489,5.269332709167423e+36
490,4.656671799526216e+36
491,2.3461616612936036e+35
492,8.615027824787516e+36
493,1.413058338895197e+36
494,3.294492948917698e+36
495,5.6325902879310864e+35
496,1.7130739825721888e+36
497,6.310050707663321e+35
498,2.1477259508766063e+36
499,1.0682083790957013e+37
500,7.287338974774928e+36
501,8.510912508271753e+36
502,1.0001253945275398e+37
503,1.7508385935246284e+36
504,7.083559709421638e+36
505,2.5526066043256848e+36
506,1.12530522949443e+37
507,1.1976802471303612e+37
508,3.3069143657378714e+36
509,4.9670763505301433e+36
510,1.2912323918088492e+37
511,1.3099678582200547e+37
512,1.300657201265663e+37
513,3.312500838412666e+36
514,3.0677944392474616e+36
515,8.116523016369155e+36
516,6.948561144560302e+36
517,5.341764394376976e+36
518,2.0004286542416036e+36
519,5.740563191781618e+36
520,1.0726641888895646e+37
521,4.2708240744578203e+36
522,2.5611472632949284e+36
523,4.1994817887657596e+36
524,1.1777586061455241e+36
525,3.6236759831366506e+36
526,2.0010437502201047e+36
527,1.107992738016287e+37
528,4.893096150316046e+36
529,2.513244695599782e+36
530,6.799128276234796e+36
531,1.3122355913965406e+37
532,3.70578028869643e+36
533,1.4312313135538018e+37
534,1.4929027423792546e+36
535,1.1656770815647358e+37
536,8.135209850401156e+36
537,1.2411290502038444e+37
538,1.077482996096365e+37
539,1.1238821790767973e+37
540,1.4281209623524601e+37
541,1.097232960185457e+37
542,1.3030316324669763e+37
543,5.860016308863851e+36
544,1.2429592062991938e+37
545,6.300541283760765e+36
546,1.2269705153389165e+37
547,1.2511583350796394e+37
548,1.5531517252118015e+37
549,7.396148085237181e+35
550,1.2726468378866865e+37
551,1.0815826542398396e+37
552,1.415354985324737e+37
553,1.0518792279204297e+37
554,5.517989318198125e+36
555,1.1104961381088028e+37
556,5.359468357224077e+36
557,6.261519428667077e+36
558,1.7838388045852187e+36
559,5.660696848738512e+36
560,1.132736885829394e+37
561,1.5191347469919208e+36
562,1.4733366394591352e+37
563,5.377316565781026e+36
564,1.2154392929736566e+36
565,1.2844221362031388e+37
566,1.2193260380653616e+37
567,9.597758025936159e+36
568,7.104374516425056e+36
569,1.2497726865169583e+37
570,3.1815719819271725e+36
571,1.353647580686776e+37
572,1.4236988429030488e+37
573,9.594608885531923e+35
574,1.1170274617656838e+37
575,7.108876892561789e+36
576,9.691707809828451e+36
577,5.188441365664184e+36
578,5.098184820664957e+36
579,1.58292650397917e+37
580,1.069797073772584e+37
581,8.553404993972094e+36
582,4.001176472850146e+36
583,1.5777806540844108e+37
584,4.270858406568301e+35
585,1.5493035050427895e+34
586,7.683734104071393e+36
587,3.047138913063785e+36
588,1.202291717405532e+37
589,3.9153150650119736e+36
590,1.5545329267136972e+37
591,1.313354116778542e+37
592,1.2466164876258035e+37
593,3.1724051308845715e+36
594,1.7614187123298e+37
595,1.7627555793732192e+37
596,1.822296892422985e+37
597,2.2740386433452278e+36
598,1.0696327084303275e+37
599,1.858238862784963e+36
600,1.6037138365582474e+37
601,1.7911513548026006e+37
602,9.838406419016616e+36
603,1.5583482734130772e+37
604,1.3945487134251166e+37
605,8.713751716449626e+36
606,1.9012242832204382e+37
607,1.9118727437316264e+37
608,1.967755759741346e+37
609,1.7573743324939208e+36
610,1.111010031419135e+36
611,9.261684401647673e+35
612,1.8031329799661208e+37
613,1.0146664325220145e+37
614,1.5889426711074543e+37
615,8.579658216933417e+35
616,6.641798610311938e+36
617,1.222969978992129e+37
618,1.810001288730146e+37
619,3.896209961832738e+35
620,1.0789932628877064e+37
621,2.353617403593924e+36
622,1.6796421974069774e+37
623,7.298623333355017e+36
624,1.323944481948889e+37
625,1.150768484187909e+37
626,8.27978988085533e+36
627,1.7830422504838268e+37
628,1.9708171196495666e+36
629,1.2944965461398983e+37
630,1.8330022692750502e+37
631,1.354122307503604e+37
632,3.693264641264418e+35
633,1.8826179627930072e+37
634,2.3145393040791173e+37
635,2.1104416837568303e+37
636,1.7370287298239253e+37
637,1.2300102464406643e+37
638,2.1103863483056236e+37
639,4.6420133642741626e+36
640,1.0210004180344329e+37
641,1.1915980239434698e+37
642,5.243982597423125e+36
643,2.388354751521465e+37
644,6.235673863999078e+36
645,1.4204088468353753e+36
646,2.3404756491202176e+37
647,4.085125539567586e+35
648,1.955809479799387e+37
649,6.577903138358597e+36
650,6.21787799406708e+36
651,1.5252533561627023e+36
652,1.1465988331803787e+37
653,1.4502624993909234e+37
654,1.4935949466794338e+37
655,2.4556049074504376e+37
656,1.605988820577922e+37
657,2.4260546784414928e+36
658,1.5500144950599715e+37
659,1.4061119935163115e+37
660,1.4918619819747425e+37
661,7.069452318746862e+36
662,3.5158399807374685e+36
663,9.857009773038297e+36
664,1.2226794476750718e+36
665,1.846353863493266e+37
666,6.322311156585922e+36
667,1.2697632369719068e+37
668,1.9487104706770166e+37
669,4.010563473040721e+36
670,1.335820199639583e+37
671,2.1636515865099626e+37
672,1.7380392048656174e+37
673,2.0319148086619752e+37
674,1.0867970001228237e+37
675,2.5071216403960316e+37
676,1.980038295554238e+36
677,4.490679938594069e+36
678,3.1741905580282726e+36
679,2.053427215572377e+37
680,1.4640976656609577e+37
681,1.8015422343335474e+36
682,2.2627756415068886e+37
683,2.886455746930312e+37
684,2.606983951944787e+37
685,1.7985069927408305e+37
686,3.772666068282084e+36
687,6.810541301945129e+36
688,2.0905148015794455e+37
689,2.8047659157692867e+37
690,2.9660091421118103e+37
691,8.124927924338711e+36
692,9.914359273795653e+36
693,1.6582870682997393e+37
694,1.0472398244309667e+37
695,2.5943097354825743e+37
696,2.137386508432445e+37
697,1.7750916337971885e+37
698,8.232236438762116e+36
699,1.7126842401294778e+35
700,2.4930364528076314e+36
701,2.6527579424667083e+37
702,8.287084877272129e+36
703,1.9257328651641045e+37
704,1.2213630849292081e+36
705,3.1008018033365905e+37
706,5.970784273902872e+36
707,1.1978505461781691e+37
708,6.976588124929063e+36
709,1.265204361284586e+37
710,2.2750693770741627e+37
711,2.4565801731003864e+37
712,7.687124153164476e+36
713,7.21158059139444e+36
714,1.0631221100176675e+37
715,2.9966912400503325e+37
716,1.616904688214e+37
717,1.9018268591609372e+37
718,1.7284565631571594e+37
719,2.906118214485335e+37
720,2.644484282726056e+37
721,1.094648389597858e+37
722,1.3621237604869338e+37
723,6.078314374922156e+36
724,1.6519261821925576e+37
725,2.951501746870444e+37
726,8.319304417250253e+36
727,6.597527459384274e+36
728,2.061570277397424e+37
729,3.024192609820189e+37
730,3.300315561511498e+37
731,3.5990335009529675e+37
732,3.0286720793642367e+37
733,1.6442123075812437e+37
734,3.67566812567486e+37
735,3.4676727982465966e+36
736,8.821998756781246e+36
737,5.605157441369995e+36
738,2.9563381169841137e+37
739,3.66484246301155e+37
740,2.9014167231356477e+37
741,3.6170184467902977e+37
742,5.1890346208179925e+36
743,2.378116759679035e+36
744,1.429941952626515e+37
745,3.381087139836234e+36
746,3.4514915183111957e+37
747,3.5722501484740975e+37
748,3.308593949310763e+37
749,3.3043323222165826e+37
750,1.1483619596251088e+37
751,2.1095216966577957e+37
752,3.229857609074695e+37
753,3.6943500386168576e+37
754,1.8944994782367604e+37
755,2.433189928405461e+37
756,5.336482407084239e+36
757,2.892426894833108e+36
758,3.1785476898377853e+36
759,3.0738848615578946e+37
760,3.62776496058719e+37
761,2.6654752139849875e+37
762,2.3505037302359655e+36
763,4.1479708696523036e+37
764,2.9902919087632394e+37
765,1.267273874124472e+37
766,3.319368884682755e+37
767,2.6012647152158652e+36
768,1.1955457801690756e+37
769,8.4106983254543e+35
770,2.557503722269051e+37
771,3.460947331675182e+37
772,4.338614809279779e+37
773,3.013162909346744e+37
774,2.931147269741188e+37
775,2.6996824127341123e+37
776,1.5984200205792057e+37
777,3.188423375817269e+36
778,2.510091990390779e+37
779,2.965005319000916e+37
780,2.342849959815882e+37
781,7.225471549675491e+36
782,5.77311408712591e+36
783,2.6418391849362887e+36
784,1.1425787162567385e+37
785,9.080866514343378e+36
786,3.7703496862935e+37
787,4.064605459081985e+37
788,6.392255279555836e+36
789,3.7864571824728233e+37
790,2.287960708384208e+37
791,6.993592885808493e+36
792,1.3333648762543196e+37
793,2.3126980694389406e+37
794,4.666793087700892e+37
795,2.9000447818651423e+37
796,4.64968947079924e+37
797,1.3591882047283067e+37
798,1.4344552130152002e+37
799,2.561429554668683e+37
800,3.2554727745949237e+37
801,4.2524230891932233e+37
802,2.3720084199139095e+37
803,2.3532850454522577e+37
804,3.7536684557057043e+37
805,4.84721656689617e+37
806,9.626109547103845e+36
