,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
0,0.0,0.5000000000000001,0.0,0.0001999600079984003,0.09998000399920016,0.0,-1.0,0.0,0.0,91.66666666666669,0.8
1,1.0,0.5046747663551403,1.0,0.00020556636336284157,0.10250342454873493,0.0,1.0,0.0,0.0,91.66666666666669,0.8
2,2.0,0.5093470824994327,1.0,0.00021127452351128303,0.10506325541762726,0.0,1.0,0.0,0.0,91.66666666666669,0.8
3,3.0,0.5140154829271014,1.0,0.00021708432668762447,0.10765908252871409,0.0,1.0,0.0,0.0,91.66666666666669,0.8
4,4.0,0.5186785082760896,1.0,0.00022299554760651325,0.11029046381682814,0.0,1.0,0.0,0.0,91.66666666666669,0.8
5,5.0,0.5233347074912502,1.0,0.00022900789795526213,0.11295692987649956,0.0,1.0,0.0,0.0,91.66666666666669,0.8
6,6.0,0.5279826399598689,1.0,0.00023512102703489125,0.11565798466961753,0.0,1.0,0.0,0.0,91.66666666666669,0.8
7,7.0,0.5326208776126512,1.0,0.00024133452253751158,0.11839310629048917,0.0,1.0,0.0,0.0,91.66666666666669,0.8
8,8.0,0.5372480069834522,1.0,0.00024764791145665763,0.12116174778546987,0.0,1.0,0.0,0.0,91.66666666666669,0.8
9,9.0,0.5418626312213429,1.0,0.00025406066112666493,0.12396333802415611,0.0,1.0,0.0,0.0,91.66666666666669,0.8
10,10.0,0.5464633720487979,1.0,0.00026057218038662386,0.12679728261890524,0.0,1.0,0.0,0.0,91.66666666666669,0.8
11,11.0,0.5510488716601258,1.0,0.0002671818208639597,0.1296629648892784,0.0,1.0,0.0,0.0,91.66666666666669,0.8
12,12.0,0.5556177945545776,1.0,0.00027388887837223055,0.13255974686784908,0.0,1.0,0.0,0.0,91.66666666666669,0.8
13,13.0,0.5601688292989516,1.0,0.00028069259441728544,0.13548697034367585,0.0,1.0,0.0,0.0,91.66666666666669,0.8
14,14.0,0.5647006902148537,1.0,0.00028759215780558043,0.13844395793963718,0.0,1.0,0.0,0.0,91.66666666666669,0.8
15,15.0,0.569212118986196,1.0,0.0002945867063480444,0.14143001421971996,0.0,1.0,0.0,0.0,91.66666666666669,0.8
16,16.0,0.5737018861829363,1.0,0.00030167532865264953,0.14444442682230824,0.0,1.0,0.0,0.0,91.66666666666669,0.8
17,17.0,0.5781687926974813,1.0,0.00030885706599851693,0.14748646761545517,0.0,1.0,0.0,0.0,91.66666666666669,0.8
18,18.0,0.5826116710906296,1.0,0.00031613091428423564,0.1505553938701188,0.0,1.0,0.0,0.0,91.66666666666669,0.8
19,19.0,0.5870293868443782,1.0,0.00032349582604284543,0.15365044944733372,0.0,1.0,0.0,0.0,91.66666666666669,0.8
20,20.0,0.5914208395193723,1.0,0.00033095071251586103,0.1567708659953205,0.0,1.0,0.0,0.0,91.66666666666669,0.8
21,21.0,0.5957849638152403,1.0,0.0003384944457786023,0.1599158641525843,0.0,1.0,0.0,0.0,91.66666666666669,0.8
22,22.0,0.600120730532495,1.0,0.00034612586090906536,0.1630846547531078,0.0,1.0,0.0,0.0,91.66666666666669,0.8
23,23.0,0.6044271474351567,1.0,0.0003538437581926125,0.16627644002985534,0.0,1.0,0.0,0.0,91.66666666666669,0.8
24,24.0,0.6087032600136716,1.0,0.0003616469053547447,0.16949041481287588,0.0,1.0,0.0,0.0,91.66666666666669,0.8
25,25.0,0.6129481521481434,1.0,0.0003695340398143827,0.17272576771844778,0.0,1.0,0.0,0.0,91.66666666666669,0.8
26,26.0,0.6171609466723214,1.0,0.00037750387095015424,0.1759816823258154,0.0,1.0,0.0,0.0,91.66666666666669,0.8
27,27.0,0.6213408058391636,1.0,0.0003855550823723976,0.17925733833824842,0.0,1.0,0.0,0.0,91.66666666666669,0.8
28,28.0,0.6254869316892036,1.0,0.00039368633419373906,0.18255191272528523,0.0,1.0,0.0,0.0,91.66666666666669,0.8
29,29.0,0.6295985663233022,1.0,0.0004018962652913904,0.18586458084322913,0.0,1.0,0.0,0.0,91.66666666666669,0.8
30,30.0,0.6336749920817288,1.0,0.000410183495554513,0.18919451753112365,0.0,1.0,0.0,0.0,91.66666666666669,0.8
