,0
0,1.1659464315022823e+36
1,1.187876439476419e+36
2,1.210217587886527e+36
3,1.2329775591206951e+36
4,1.2561641786279262e+36
5,1.2797854175712105e+36
6,1.3038493955323821e+36
7,1.3283643832656433e+36
8,1.3533388055019343e+36
9,1.378781243806676e+36
10,1.4047004394873128e+36
11,1.4311052965576222e+36
12,1.458004884755288e+36
13,1.4854084426152427e+36
14,1.513325380601392e+36
15,1.5417652842929976e+36
16,1.570737917633174e+36
17,1.6002532262356816e+36
18,1.6303213407530545e+36
19,1.6609525803084e+36
20,1.6921574559871752e+36
21,1.7239466743971835e+36
22,1.75633114129215e+36
23,1.7893219652626116e+36
24,1.822930461496678e+36
25,1.8571681556063208e+36
26,1.892046787528291e+36
27,1.9275783154952064e+36
28,1.9637749200796836e+36
29,2.0006490083154608e+36
30,2.038213217890249e+36
31,2.076480421420206e+36
32,2.1154637308012806e+36
33,2.1551765016406822e+36
34,2.1956323377727047e+36
35,2.2368450958528075e+36
36,2.2788288900416273e+36
37,2.3215980967727157e+36
38,2.3651673596082856e+36
39,2.409551594187213e+36
40,2.4547659932591387e+36
41,2.5008260318163313e+36
42,2.5477474723180496e+36
43,2.5955463700109123e+36
44,2.6442390783502532e+36
45,2.6938422545158784e+36
46,2.7443728650352045e+36
47,2.7958481915070594e+36
48,2.8482858364311406e+36
49,2.90170372914815e+36
50,2.9561201318828176e+36
51,3.0115536459049767e+36
52,3.068023217800795e+36
53,3.125548145859698e+36
54,3.184148086582333e+36
55,3.243843061301617e+36
56,3.304653462932741e+36
57,3.36660006284391e+36
58,3.429704017853847e+36
59,3.4939868773619085e+36
60,3.5594705906018747e+36
61,3.626177514037014e+36
62,3.694130418887598e+36
63,3.763352498797908e+36
64,3.8338673776432485e+36
65,3.905699117485406e+36
66,3.9788722266658524e+36
67,4.05341166805644e+36
68,4.12934286745795e+36
69,4.2066917221530816e+36
70,4.285484609621428e+36
71,4.365748396405775e+36
72,4.447510447150735e+36
73,4.530798633803293e+36
74,4.6156413449823084e+36
75,4.702067495525808e+36
76,4.7901065362036966e+36
77,4.879788463619112e+36
78,4.971143830287255e+36
79,5.064203754899535e+36
80,5.158999932781588e+36
81,5.255564646533203e+36
82,5.353930776874783e+36
83,5.45413181368742e+36
84,5.55620186725672e+36
85,5.660175679728638e+36
86,5.766088636764317e+36
87,5.873976779421273e+36
88,5.983876816246834e+36
89,6.095826135593895e+36
90,6.20986281816993e+36
91,6.326025649802968e+36
92,6.444354134455628e+36
93,6.564888507472334e+36
94,6.687669749068798e+36
95,6.812739598077443e+36
96,6.940140565930783e+36
97,7.069915950915893e+36
98,7.202109852684042e+36
99,7.336767187026242e+36
100,7.473933700928631e+36
101,7.613655987888355e+36
102,7.755981503526518e+36
103,7.900958581480062e+36
104,8.048636449585354e+36
105,8.199065246368249e+36
106,8.352296037818052e+36
107,8.508380834488604e+36
108,8.667372608903547e+36
109,8.829325313281601e+36
110,8.994293897596104e+36
111,9.162334327947907e+36
112,9.333503605293405e+36
113,9.507859784507763e+36
114,9.685461993797946e+36
115,9.866370454481152e+36
116,1.0050646501106756e+37
117,1.023835260196739e+37
118,1.042955237997635e+37
119,1.0624310633928058e+37
120,1.0822693360159247e+37
121,1.1024767774585066e+37
122,1.123060233516271e+37
123,1.1440266764754635e+37
124,1.1653832074411253e+37
125,1.1871370587094391e+37
126,1.2092955961807763e+37
127,1.2318663218198448e+37
128,1.2548568761594466e+37
129,1.2782750408501407e+37
130,1.302128741258197e+37
131,1.3264260491082093e+37
132,1.3511751851769642e+37
133,1.3763845220353916e+37
134,1.4020625868406595e+37
135,1.4282180641809097e+37
136,1.4548597989692725e+37
137,1.481996799393663e+37
138,1.5096382399193467e+37
139,1.537793464346402e+37
140,1.566471988924818e+37
141,1.5956835055233647e+37
142,1.6254378848598412e+37
143,1.6557451797888082e+37
144,1.6866156286494597e+37
145,1.718059658676783e+37
146,1.7500878894712322e+37
147,1.7827111365359744e+37
148,1.8159404148767081e+37
149,1.8497869426675397e+37
150,1.8842621449860692e+37
151,1.9193776576124907e+37
152,1.9551453309026083e+37
153,1.9915772337295397e+37
154,2.0286856574975565e+37
155,2.0664831202315605e+37
156,2.104982370737009e+37
157,2.1441963928403755e+37
158,2.184138409704987e+37
159,2.2248218882255925e+37
160,2.2662605435061217e+37
161,2.3084683434141937e+37
162,2.351459513223802e+37
163,2.395248540340711e+37
164,2.4398501791138295e+37
165,2.4852794557376737e+37
166,2.531551673238866e+37
167,2.5786824165591266e+37
168,2.626687557728774e+37
169,2.6755832611343963e+37
170,2.7253859888860406e+37
171,2.7761125062765012e+37
172,2.8277798873462373e+37
173,2.8804055205473016e+37
174,2.9340071145108817e+37
175,2.988602703920159e+37
176,3.0442106554931727e+37
177,3.100849674068955e+37
178,3.158538808811074e+37
179,3.2172974595206505e+37
180,3.2771453830689224e+37
181,3.3381026999400685e+37
182,3.400189900900628e+37
183,3.4634278537875084e+37
184,3.5278378104202264e+37
185,3.593441413638798e+37
186,3.660260704474146e+37
187,3.7283181294411716e+37
188,3.797636547973342e+37
189,3.8682392399878356e+37
190,3.9401499135940554e+37
191,4.0133927129342373e+37
192,4.0879922261754607e+37
193,4.16397349364373e+37
194,4.2413620161066677e+37
195,4.320183763207263e+37
196,4.4004651820553245e+37
197,4.482233205966969e+37
198,4.56551526337252e+37
199,4.650339286881081e+37
200,4.73673372251709e+37
201,4.824727539114643e+37
202,4.914350237893404e+37
203,5.005631862204047e+37
204,5.0986030074526935e+37
205,5.193294831204583e+37
206,5.289739063478592e+37
207,5.387968017216835e+37
208,5.488014598957656e+37
209,5.589912319696601e+37
210,5.693695305945951e+37
211,5.799398311001289e+37
212,5.907056726401711e+37
213,6.016706593610811e+37
214,6.128384615904442e+37
215,6.242128170474967e+37
216,6.357975320762954e+37
217,6.475964828999382e+37
218,6.596136168990867e+37
219,6.718529539129994e+37
220,6.843185875643217e+37
221,6.970146866087152e+37
222,7.099454963075299e+37
223,7.23115339827078e+37
224,7.365286196625381e+37
225,7.501898190877968e+37
226,7.641035036325166e+37
227,7.782743225844785e+37
228,7.927070105208142e+37
229,8.074063888664097e+37
230,8.223773674805824e+37
