,0
0,1.1659464315022823e+36
1,1.1714750996106108e+36
2,1.1770295352635228e+36
3,1.1826098563568157e+36
4,1.1882161813150564e+36
5,1.1938486290938926e+36
6,1.1995073191821649e+36
7,1.205192371605266e+36
8,1.2109039069259113e+36
9,1.2166420462475722e+36
10,1.2224069112165664e+36
11,1.2281986240244515e+36
12,1.2340173074103883e+36
13,1.2398630846636254e+36
14,1.245736079625768e+36
15,1.2516364166933547e+36
16,1.2575642208199013e+36
17,1.2635196175194947e+36
18,1.2695027328676014e+36
19,1.2755136935046168e+36
20,1.2815526266380331e+36
21,1.2876196600450307e+36
22,1.2937149220748111e+36
23,1.2998385416512556e+36
24,1.3059906482753545e+36
25,1.3121713720277868e+36
26,1.3183808435711019e+36
27,1.3246191941535214e+36
28,1.3308865556096413e+36
29,1.337183060364313e+36
30,1.3435088414347957e+36
31,1.3498640324334336e+36
32,1.3562487675702023e+36
33,1.362663181655416e+36
34,1.3691074101022416e+36
35,1.3755815889294276e+36
36,1.3820858547635844e+36
37,1.3886203448431167e+36
38,1.395185197019033e+36
39,1.401780549758854e+36
40,1.4084065421490036e+36
41,1.4150633138975353e+36
42,1.42175100533683e+36
43,1.4284697574263158e+36
44,1.435219711755248e+36
45,1.442001010545409e+36
46,1.4488137966535815e+36
47,1.4556582135756407e+36
48,1.4625344054473492e+36
49,1.469442517048496e+36
50,1.4763826938053625e+36
51,1.4833550817935655e+36
52,1.490359827740833e+36
53,1.497397079029967e+36
54,1.5044669837015898e+36
55,1.5115696904571001e+36
56,1.518705348661137e+36
57,1.5258741083459165e+36
58,1.5330761202120597e+36
59,1.5403115356328852e+36
60,1.5475805066569937e+36
61,1.554883186011215e+36
62,1.5622197271035952e+36
63,1.5695902840263573e+36
64,1.5769950115588315e+36
65,1.584434065170524e+36
66,1.5919076010237865e+36
67,1.5994157759781318e+36
68,1.606958747591305e+36
69,1.6145366741236555e+36
70,1.622149714540838e+36
71,1.6297980285169593e+36
72,1.6374817764375576e+36
73,1.645201119402833e+36
74,1.6529562192306687e+36
75,1.6607472384597534e+36
76,1.668574340352433e+36
77,1.676437688899253e+36
78,1.6843374488199987e+36
79,1.6922737855682802e+36
80,1.7002468653343618e+36
81,1.7082568550484143e+36
82,1.7163039223837412e+36
83,1.7243882357599485e+36
84,1.7325099643462268e+36
85,1.7406692780646875e+36
86,1.7488663475931037e+36
87,1.757101344369875e+36
88,1.765374440594981e+36
89,1.7736858092348114e+36
90,1.7820356240251148e+36
91,1.790424059474425e+36
92,1.798851290867322e+36
93,1.807317494267853e+36
94,1.8158228465229545e+36
95,1.824367525265778e+36
96,1.832951708918744e+36
97,1.8415755766986567e+36
98,1.8502393086176074e+36
99,1.8589430854881482e+36
100,1.867687088926276e+36
101,1.8764715013550744e+36
102,1.885296506008039e+36
103,1.8941622869327495e+36
104,1.903069028994259e+36
105,1.912016917878822e+36
106,1.9210061400968778e+36
107,1.9300368829884234e+36
108,1.9391093347240377e+36
109,1.948223684310165e+36
110,1.95738012159238e+36
111,1.9665788372589854e+36
112,1.975820022844636e+36
113,1.9851038707341114e+36
114,1.994430574165942e+36
115,2.0038003272360785e+36
116,2.0132133249012404e+36
117,2.022669762984417e+36
118,2.0321698381759122e+36
119,2.041713748038919e+36
120,2.051301691012862e+36
121,2.060933866417184e+36
122,2.070610474455195e+36
123,2.0803317162178488e+36
124,2.090097793687616e+36
125,2.0999089097424052e+36
126,2.1097652681593196e+36
127,2.1196670736182396e+36
128,2.1296145317074733e+36
129,2.1396078489249516e+36
130,2.1496472326840631e+36
131,2.1597328913170496e+36
132,2.1698650340791444e+36
133,2.1800438711524224e+36
134,2.1902696136498743e+36
135,2.2005424736194468e+36
136,2.2108626640481517e+36
