,0
0,2.935635947561777e+39
1,2.135373779081382e+45
2,2.7428372180178147e+44
3,4.925114617060348e+44
4,5.791754159054667e+40
5,1.899365576304181e+45
6,6.143358203658978e+44
7,5.463955368401819e+40
8,7.281968577356973e+41
9,9.881816541698784e+39
10,3.031475192865468e+41
11,4.559502152678245e+43
12,3.529306664338785e+37
13,8.6758731682315625e+40
14,6.29946149580242e+44
15,1.719071156721968e+43
16,2.4096645318296606e+37
17,1.3111914465920103e+38
18,2.920324738191128e+40
19,7.001690688282789e+44
20,5.1050936561748435e+44
21,6.384944936282135e+43
22,7.92609835060671e+41
23,2.4536226083536225e+44
24,5.7017395994716455e+40
25,4.8641692687626224e+44
26,7.40403546778342e+39
27,3.0860945450873838e+38
28,2.336153345067532e+44
29,5.262585988853219e+42
30,6.347488904032768e+44
31,1.0103877378592194e+38
32,4.3316357505742425e+42
33,1.2393331548850618e+41
34,2.6393843741669506e+38
35,5.255529974107263e+44
36,3.1681924842903862e+44
37,7.538211083803933e+44
38,1.724305473091013e+44
39,1.0474521462910276e+40
40,8.938506108692998e+38
41,1.2921636669274733e+43
42,2.101433068809844e+38
43,2.621268559555608e+43
44,6.625132467452649e+39
45,1.9868646354409938e+45
46,1.0708005643587545e+42
47,1.3095517666413026e+43
48,2.3076155834433476e+45
49,1.8926270397552338e+41
50,2.595479992785751e+45
51,1.1356232058301486e+41
52,1.4898112575972306e+44
53,2.420377207129668e+45
54,6.3555582619115585e+44
55,3.960570120110806e+41
56,1.3378171157811446e+44
57,3.25002113546224e+44
58,1.838531977759887e+36
59,2.126196125845111e+44
60,1.07063065031124e+37
61,9.530887763962437e+43
62,1.8154078572895033e+45
63,2.3666507342481095e+44
64,3.4634499713694316e+42
65,1.3544477830364848e+45
66,1.1711912109756033e+43
67,1.800767310856246e+45
68,2.965686352285379e+40
69,3.4138638645591463e+41
70,2.9179371481872547e+39
71,1.789841981317041e+45
72,3.06792710981589e+44
73,1.990723877775833e+45
74,2.153263833486487e+44
75,5.094727627856753e+42
76,7.091284603337979e+44
77,1.2278400782277354e+42
78,4.6490725999680366e+39
79,1.1272003260060258e+45
80,2.1931614746886308e+38
81,3.3965595139426005e+44
82,4.615540397502633e+44
83,6.71022131574108e+44
84,2.4023901251274537e+36
85,1.2158644135462089e+41
86,1.7632020702320392e+36
87,6.03467690450195e+36
88,6.511880016040047e+44
89,6.605432977198923e+44
90,1.7678206995364294e+45
91,3.8161219183632905e+36
92,7.995525105651119e+44
93,7.66311726643692e+36
94,2.440725763877357e+38
95,1.5805349452151291e+44
96,2.8322512707139463e+37
97,6.686921423790923e+43
98,1.0126526611149915e+40
99,2.9117219433563324e+40
100,8.76159956321115e+44
101,5.842832046771111e+40
102,2.745664182163935e+44
103,9.015939864844046e+44
104,7.64793365970843e+43
105,2.3497274002559896e+41
106,7.161711828488272e+44
107,1.9937471876635628e+36
108,8.208033393572783e+37
109,2.6213690662617857e+41
110,6.7388670906201465e+44
111,6.2877865876099776e+44
112,3.2659376700346945e+44
113,1.8638528643971504e+41
114,5.390484476565314e+37
115,3.412707578401416e+44
116,3.3631975023154855e+43
117,1.2683776099767152e+44
118,4.598119477418028e+41
119,6.363357208635053e+38
120,1.4696904766802495e+45
121,1.872876991931198e+45
122,2.417744506072144e+37
123,7.766476648931837e+43
124,9.277379785297149e+44
125,1.5811463622196178e+44
126,5.924100741370913e+41
127,2.4861572076349235e+44
128,2.944919712633427e+36
129,3.3954717123168303e+43
130,3.330237816075052e+44
131,2.928965268082345e+44
132,3.553970280613185e+44
133,5.419098583810005e+36
134,9.64771116130891e+42
135,1.1682211057326406e+37
136,1.227444421378645e+45
137,1.2016937545806066e+39
138,7.579066054823693e+44
139,2.504405141187352e+41
140,7.823725300427453e+39
141,2.3979394268431512e+45
142,1.4812213927685326e+45
143,5.437066274168925e+44
144,2.0210098783703904e+41
145,4.055087938173582e+44
146,1.586272484537327e+45
147,1.3251368023328821e+42
148,8.830048490144051e+44
149,3.196268487155492e+44
150,4.810320624726521e+44
151,1.281803660719386e+45
152,1.4100210163295928e+40
153,7.358456272537729e+44
154,6.335575292802816e+44
155,7.978559969522747e+36
156,1.7842377364332625e+45
