,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
0,0.0,0.4983036874010156,0.4385944157054873,9.999000099989999e-05,0.09999000099989999,0.0,-1.0,0.0,0.0,85.23260578920697,0.7849023485369623
1,1.0,0.5030147263346536,0.9996805994589324,0.00010280144662767374,0.1025222098822137,0.0,1.0,0.0,0.0,86.14673310397622,0.787184810465121
2,2.0,0.5077240743647448,0.9996805994589324,0.00010566402646055061,0.10509103839969329,0.0,1.0,0.0,0.0,92.20277509150576,0.8011628899982827
3,3.0,0.5124302160726604,0.9996805994589324,0.00010857764901649666,0.10769606053837043,0.0,1.0,0.0,0.0,92.29034963404172,0.8013515670269928
4,4.0,0.5171316412026256,0.9996805994589324,0.00011154219020656656,0.11033682156810534,0.0,1.0,0.0,0.0,89.55274171773941,0.795278927460222
5,5.0,0.5218268469562723,0.9996805994589324,0.00011455749360413,0.113012838717904,0.0,1.0,0.0,0.0,89.54689080887997,0.7952655511796363
6,6.0,0.5265143402617891,0.9996805994589324,0.00011762337078715676,0.11572360191427723,0.0,1.0,0.0,0.0,89.16718286524198,0.794393713648659
7,7.0,0.5311926400101402,0.9996805994589324,0.00012073960175209367,0.1184685745799392,0.0,1.0,0.0,0.0,85.74219363302913,0.7861807290375754
8,8.0,0.5358602792511079,0.9996805994589324,0.00012390593539754854,0.121247194489883,0.0,1.0,0.0,0.0,92.58805444518671,0.8019902951499333
9,9.0,0.5405158073420162,0.9996805994589324,0.0001271220900756908,0.12405887468163045,0.0,1.0,0.0,0.0,95.77016701935571,0.8085694751933756
10,10.0,0.5451577920423684,0.9996805994589324,0.00013038775420901041,0.1269030044162501,0.0,1.0,0.0,0.0,100.21074120255584,0.8170522130329703
11,11.0,0.5497848215479161,0.9996805994589324,0.00013370258696979628,0.12977895018653365,0.0,1.0,0.0,0.0,93.910907619097,0.8047795107284725
