,0
0,7.390598682329239e+233
1,1.270222117258e+286
2,5.4304659831447404e+231
3,1.4781257141459498e+266
4,3.2832795953567715e+237
5,2.568536202996374e+166
6,4.790743317643426e+259
7,3.0050509284206283e+288
8,1.6561988051954423e+271
9,6.6068687793386545e+267
10,7.952201722097635e+289
11,7.542078687091575e+280
12,9.173891824709724e+193
13,2.1717299777886774e+235
14,1.1444002954363523e+260
15,1.2357440055279874e+279
16,3.0071071211883614e+264
17,6.74405243150162e+192
18,1.4089677393172325e+169
19,2.044433705076923e+216
20,3.815815405057036e+233
21,5.365697906510172e+267
22,4.006785952130643e+247
23,6.5240535375453e+249
24,1.4956637506000505e+205
25,2.3254505777608486e+278
26,2.0515734582040624e+180
27,1.7704358398745394e+208
28,2.3602676405950057e+239
29,1.446263059776925e+257
30,1.3786709500940048e+234
31,4.2045975326000805e+218
32,5.037210065112612e+232
33,6.400383842331701e+243
34,2.186607491111465e+289
35,9.11729752365496e+274
36,4.911126472942597e+253
37,1.2942768068366595e+184
38,2.434269219060919e+245
39,1.6167143000739345e+289
40,9.873711376035524e+274
41,4.678051896014643e+261
42,1.288821774644344e+207
43,2.2835033716094814e+195
44,2.37366523717878e+174
45,2.1510083861238576e+179
46,6.007741151748906e+268
47,5.570984537281612e+255
48,1.6593935221064695e+238
49,1.283874160877115e+287
50,1.0922758999734691e+287
51,1.410482659318755e+198
52,3.0892679578257776e+247
53,4.3351012673988264e+185
54,3.5465671793241554e+188
55,4.960114310589502e+263
56,5.301255294640151e+222
57,3.4109987378491626e+174
58,2.932254255391258e+264
59,9.809180036298895e+285
60,1.4410150908929385e+274
61,1.2080759494566897e+224
62,3.69547749443217e+287
63,5.2574937083916535e+181
64,2.7485267393349522e+250
65,1.4713565298493046e+285
66,2.665106336221653e+289
67,6.048644907182474e+247
68,1.4189296689096793e+195
69,1.5420344277525245e+259
70,6.955426913674001e+273
71,5.003311886374724e+273
72,1.0552443011497157e+176
73,2.068069478478857e+277
74,2.336720291886009e+248
75,1.3871893852697813e+288
76,3.1386611003527354e+271
77,6.953863305741714e+252
78,4.858371813450411e+285
79,4.096838139802427e+256
80,3.238270158454928e+201
81,1.7926174065474722e+181
82,7.130247957295372e+275
83,1.362920750167055e+232
84,2.3180131904859287e+212
85,6.118884484526641e+219
86,8.517911086653254e+274
87,6.102946583464353e+287
88,1.2267079649306792e+248
89,2.5443559350255403e+275
90,1.906704606745934e+287
91,8.1158175315897e+173
92,9.19745387723866e+269
93,8.245022921119469e+279
94,4.231335511255036e+289
95,9.035605330978774e+280
96,5.793959058681971e+238
97,9.79244835704627e+286
98,1.7588899289410047e+253
99,1.0793326721771615e+189
100,7.751727824983082e+257
101,8.879880299035093e+267
102,4.298214234071587e+247
103,3.8583345543797527e+248
104,9.084900265091003e+287
105,7.77119135715313e+220
106,1.4461938351039163e+222
107,1.439253478887087e+186
108,4.036044398319471e+176
109,2.5549787785417082e+284
110,1.2005717440979702e+206
111,1.371348369722064e+220
112,6.5955143027086665e+255
113,5.890282578517157e+227
114,1.4347022828066923e+277
115,3.0164311789988213e+236
116,1.2029153282657379e+263
117,3.388431896846652e+289
118,9.279124448373958e+281
119,3.1417401453808165e+262
120,4.830591540875716e+203
121,1.7112964978986832e+230
122,2.2576655194034487e+235
123,6.20533890505673e+289
124,4.193060525415497e+267
125,8.509305232333694e+172
126,4.0136216685286704e+267
127,9.018135369937925e+211
